      STOP_NAME      ; STOP_NUMBER ;   POSITION_X  ;   POSITION_Y  ;      DISTANCE      ; Route_A 
        Lutry, Landar;      8579259;  2542551.73301;  1152101.85475;                 0.0;      Yes
      Lutry, Echerins;      8588438;      2543380.0;      1152174.0;   831.4031175194694;      Yes
   Lutry, Croix/Lutry;      8579260;      2543535.0;      1152022.0;  1048.4952638536931;      Yes
        Lutry, Savoie;      8592161;      2543401.0;      1151913.0;  1221.2291632481085;      Yes
        Lutry, Brélaz;      8592146;      2543124.0;      1151589.0;  1647.4978578528144;      Yes
      Lutry, Gravesse;      8592153;      2542980.0;      1151383.0;  1898.8382644729995;      Yes
     Lutry, Bossières;      8593856;      2543076.0;      1151210.0;   2096.689218476259;      Yes
  Lutry, Savuit-place;      8592162;      2542825.0;      1150935.0;   2469.014345213631;      Yes
          Lutry, gare;      8593861;      2542553.0;      1150550.0;  2940.4048415115517;      Yes
    Lutry, Les Champs;      8592154;      2542304.0;      1150660.0;  3212.6198300775745;      Yes
          Lutry, port;      8592156;      2542078.0;      1150336.0;  3607.6540058143073;      Yes
