  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;         Start          ;  Start_time_Planned ;   Start_time_Real   ;          End           ;   End_time_Planned  ;    End_time_Real    
  85:151:6137;  Route_B;               18;          R;        Prilly, Galicien;  2025-07-01 05:17:00;  2025-07-01 05:27:20;         Pully, Val-Vert;  2025-07-01 05:40:00;  2025-07-01 05:47:37
  85:151:6165;  Route_B;               18;          R;        Prilly, Galicien;  2025-07-01 05:32:00;  2025-07-01 05:32:33;         Pully, Val-Vert;  2025-07-01 05:55:00;  2025-07-01 05:54:57
  85:151:6110;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 05:33:00;  2025-07-01 05:33:35;  Prilly, Galicien/aréna;  2025-07-01 05:57:00;  2025-07-01 05:55:35
  85:151:6201;  Route_B;               18;          R;        Prilly, Galicien;  2025-07-01 05:47:00;  2025-07-01 05:47:20;         Pully, Val-Vert;  2025-07-01 06:10:00;  2025-07-01 06:10:20
  85:151:6138;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 05:48:00;  2025-07-01 05:48:00;  Prilly, Galicien/aréna;  2025-07-01 06:13:00;  2025-07-01 06:12:00
  85:151:6111;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 06:02:00;  2025-07-01 06:02:15;         Pully, Val-Vert;  2025-07-01 06:27:00;  2025-07-01 06:26:44
  85:151:6166;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 06:03:00;  2025-07-01 06:03:33;  Prilly, Galicien/aréna;  2025-07-01 06:29:00;  2025-07-01 06:27:12
  85:151:6139;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 06:17:00;  2025-07-01 06:17:00;         Pully, Val-Vert;  2025-07-01 06:42:00;  2025-07-01 06:42:23
  85:151:6202;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 06:18:00;  2025-07-01 06:18:20;  Prilly, Galicien/aréna;  2025-07-01 06:45:00;  2025-07-01 06:45:21
  85:151:6225;  Route_B;               18;          R;        Prilly, Galicien;  2025-07-01 06:28:00;  2025-07-01 06:28:13;         Pully, Val-Vert;  2025-07-01 06:52:00;  2025-07-01 06:51:32
  85:151:6167;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 06:33:00;  2025-07-01 06:33:12;         Pully, Val-Vert;  2025-07-01 06:59:00;  2025-07-01 06:59:55
  85:151:6112;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 06:33:00;  2025-07-01 06:33:00;  Prilly, Galicien/aréna;  2025-07-01 07:01:00;  2025-07-01 07:05:16
  85:151:6233;  Route_B;               18;          R;        Prilly, Galicien;  2025-07-01 06:38:00;  2025-07-01 06:38:28;         Pully, Val-Vert;  2025-07-01 07:02:00;  2025-07-01 07:03:50
  85:151:6255;  Route_B;               18;          R;        Prilly, Galicien;  2025-07-01 06:43:00;  2025-07-01 06:43:09;         Pully, Val-Vert;  2025-07-01 07:09:00;  2025-07-01 07:10:57
  85:151:6281;  Route_B;               18;          R;        Prilly, Galicien;  2025-07-01 06:46:00;  2025-07-01 06:45:44;         Pully, Val-Vert;  2025-07-01 07:14:00;  2025-07-01 07:12:21
  85:151:6140;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 06:48:00;  2025-07-01 06:48:14;  Prilly, Galicien/aréna;  2025-07-01 07:18:00;  2025-07-01 07:17:10
  85:151:6203;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 06:51:00;  2025-07-01 06:51:00;         Pully, Val-Vert;  2025-07-01 07:22:00;  2025-07-01 07:21:42
  85:151:6226;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 06:57:00;  2025-07-01 06:58:12;  Prilly, Galicien/aréna;  2025-07-01 07:28:00;  2025-07-01 07:27:30
  85:151:6313;  Route_B;               18;          R;        Prilly, Galicien;  2025-07-01 06:59:00;  2025-07-01 06:59:02;         Pully, Val-Vert;  2025-07-01 07:28:00;  2025-07-01 07:29:04
  85:151:6168;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 07:04:00;  2025-07-01 07:04:49;  Prilly, Galicien/aréna;  2025-07-01 07:35:00;  2025-07-01 07:32:05
  85:151:6113;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 07:04:00;  2025-07-01 07:06:36;         Pully, Val-Vert;  2025-07-01 07:35:00;  2025-07-01 07:33:07
  85:151:6234;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 07:10:00;  2025-07-01 07:10:00;  Prilly, Galicien/aréna;  2025-07-01 07:42:00;  2025-07-01 07:40:41
  85:151:6345;  Route_B;               18;          R;        Prilly, Galicien;  2025-07-01 07:13:00;  2025-07-01 07:13:13;         Pully, Val-Vert;  2025-07-01 07:43:00;  2025-07-01 07:43:55
  85:151:6256;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 07:15:00;  2025-07-01 07:15:09;  Prilly, Galicien/aréna;  2025-07-01 07:48:00;  2025-07-01 07:48:36
  85:151:6367;  Route_B;               18;          R;        Prilly, Galicien;  2025-07-01 07:20:00;  2025-07-01 07:20:12;         Pully, Val-Vert;  2025-07-01 07:50:00;  2025-07-01 07:51:47
  85:151:6282;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 07:21:00;  2025-07-01 07:21:35;  Prilly, Galicien/aréna;  2025-07-01 07:54:00;  2025-07-01 07:53:36
  85:151:6141;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 07:25:00;  2025-07-01 07:25:29;         Pully, Val-Vert;  2025-07-01 07:57:00;  2025-07-01 07:55:07
  85:151:6204;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 07:27:00;  2025-07-01 07:27:23;  Prilly, Galicien/aréna;  2025-07-01 08:01:00;  2025-07-01 08:00:16
  85:151:6227;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 07:32:00;  2025-07-01 07:32:27;         Pully, Val-Vert;  2025-07-01 08:04:00;  2025-07-01 08:03:14
  85:151:6314;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 07:34:00;  2025-07-01 07:34:43;  Prilly, Galicien/aréna;  2025-07-01 08:08:00;  2025-07-01 08:08:19
  85:151:6169;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 07:39:00;  2025-07-01 07:39:00;         Pully, Val-Vert;  2025-07-01 08:11:00;  2025-07-01 08:08:04
  85:151:6114;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 07:41:00;  2025-07-01 07:41:06;  Prilly, Galicien/aréna;  2025-07-01 08:15:00;  2025-07-01 08:13:54
  85:151:6235;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 07:46:00;  2025-07-01 07:46:00;         Pully, Val-Vert;  2025-07-01 08:19:00;  2025-07-01 08:19:50
  85:151:6346;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 07:48:00;  2025-07-01 07:48:10;  Prilly, Galicien/aréna;  2025-07-01 08:22:00;  2025-07-01 08:20:48
  85:151:6257;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 07:52:00;  2025-07-01 07:52:16;         Pully, Val-Vert;  2025-07-01 08:25:00;  2025-07-01 08:25:47
  85:151:6368;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 07:55:00;  2025-07-01 07:55:20;  Prilly, Galicien/aréna;  2025-07-01 08:29:00;  2025-07-01 08:27:22
  85:151:6283;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 07:58:00;  2025-07-01 07:58:31;         Pully, Val-Vert;  2025-07-01 08:31:00;  2025-07-01 08:33:39
  85:151:6142;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 08:02:00;  2025-07-01 08:02:00;  Prilly, Galicien/aréna;  2025-07-01 08:36:00;  2025-07-01 08:35:18
  85:151:6205;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 08:05:00;  2025-07-01 08:05:36;         Pully, Val-Vert;  2025-07-01 08:38:00;  2025-07-01 08:37:05
  85:151:6228;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 08:09:00;  2025-07-01 08:10:25;  Prilly, Galicien/aréna;  2025-07-01 08:43:00;  2025-07-01 08:40:23
  85:151:6315;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 08:12:00;  2025-07-01 08:12:21;         Pully, Val-Vert;  2025-07-01 08:44:00;  2025-07-01 08:45:17
  85:151:6170;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 08:16:00;  2025-07-01 08:16:41;  Prilly, Galicien/aréna;  2025-07-01 08:50:00;  2025-07-01 08:49:27
  85:151:6115;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 08:19:00;  2025-07-01 08:19:34;         Pully, Val-Vert;  2025-07-01 08:51:00;  2025-07-01 08:49:14
  85:151:6236;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 08:23:00;  2025-07-01 08:19:01;  Prilly, Galicien/aréna;  2025-07-01 08:57:00;  2025-07-01 08:55:56
  85:151:6347;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 08:27:00;  2025-07-01 08:27:10;         Pully, Val-Vert;  2025-07-01 08:59:00;  2025-07-01 08:57:43
  85:151:6258;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 08:30:00;  2025-07-01 08:31:15;  Prilly, Galicien/aréna;  2025-07-01 09:04:00;  2025-07-01 09:05:17
  85:151:6369;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 08:33:00;  2025-07-01 08:33:19;         Pully, Val-Vert;  2025-07-01 09:05:00;  2025-07-01 09:03:45
  85:151:6284;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 08:39:00;  2025-07-01 08:39:52;  Prilly, Galicien/aréna;  2025-07-01 09:11:00;  2025-07-01 09:10:17
  85:151:6143;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 08:41:00;  2025-07-01 08:41:09;         Pully, Val-Vert;  2025-07-01 09:13:00;  2025-07-01 09:11:20
  85:151:6206;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 08:46:00;  2025-07-01 08:46:34;  Prilly, Galicien/aréna;  2025-07-01 09:18:00;  2025-07-01 09:17:06
  85:151:6229;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 08:47:00;  2025-07-01 08:47:23;         Pully, Val-Vert;  2025-07-01 09:19:00;  2025-07-01 09:18:25
  85:151:6171;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 08:55:00;  2025-07-01 08:55:36;         Pully, Val-Vert;  2025-07-01 09:26:00;  2025-07-01 09:23:46
  85:151:6316;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 08:55:00;  2025-07-01 08:55:33;  Prilly, Galicien/aréna;  2025-07-01 09:27:00;  2025-07-01 09:28:49
  85:151:6116;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 09:02:00;  2025-07-01 09:02:36;  Prilly, Galicien/aréna;  2025-07-01 09:34:00;  2025-07-01 09:32:10
  85:151:6237;  Route_A;               19;          R;        Prilly, Galicien;  2025-07-01 09:02:00;  2025-07-01 08:57:43;         Pully, Val-Vert;  2025-07-01 09:32:00;  2025-07-01 09:30:41
  85:151:6259;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 09:09:00;  2025-07-01 09:09:05;         Pully, Val-Vert;  2025-07-01 09:39:00;  2025-07-01 09:39:39
  85:151:6348;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 09:10:00;  2025-07-01 09:10:15;  Prilly, Galicien/aréna;  2025-07-01 09:42:00;  2025-07-01 09:42:57
  85:151:6285;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 09:16:00;  2025-07-01 09:16:15;         Pully, Val-Vert;  2025-07-01 09:46:00;  2025-07-01 09:47:02
  85:151:6370;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 09:17:00;  2025-07-01 09:17:53;  Prilly, Galicien/aréna;  2025-07-01 09:49:00;  2025-07-01 09:47:57
  85:151:6207;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 09:23:00;  2025-07-01 09:23:05;         Pully, Val-Vert;  2025-07-01 09:53:00;  2025-07-01 09:51:43
  85:151:6144;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 09:24:00;  2025-07-01 09:24:13;  Prilly, Galicien/aréna;  2025-07-01 09:55:00;  2025-07-01 09:53:11
  85:151:6230;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 09:30:00;  2025-07-01 09:30:00;  Prilly, Galicien/aréna;  2025-07-01 10:01:00;  2025-07-01 09:58:56
  85:151:6317;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 09:31:00;  2025-07-01 09:31:00;         Pully, Val-Vert;  2025-07-01 10:01:00;  2025-07-01 10:02:56
  85:151:6172;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 09:35:00;  2025-07-01 09:35:20;  Prilly, Galicien/aréna;  2025-07-01 10:06:00;  2025-07-01 10:04:49
  85:151:6117;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 09:39:00;  2025-07-01 09:39:59;         Pully, Val-Vert;  2025-07-01 10:09:00;  2025-07-01 10:07:31
  85:151:6238;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 09:42:00;  2025-07-01 09:42:17;  Prilly, Galicien/aréna;  2025-07-01 10:13:00;  2025-07-01 10:11:06
  85:151:6349;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 09:46:00;  2025-07-01 09:46:17;         Pully, Val-Vert;  2025-07-01 10:16:00;  2025-07-01 10:14:33
  85:151:6260;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 09:49:00;  2025-07-01 09:49:05;  Prilly, Galicien/aréna;  2025-07-01 10:20:00;  2025-07-01 10:18:46
  85:151:6371;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 09:53:00;  2025-07-01 09:53:09;         Pully, Val-Vert;  2025-07-01 10:23:00;  2025-07-01 10:23:29
  85:151:6286;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 09:56:00;  2025-07-01 09:56:00;  Prilly, Galicien/aréna;  2025-07-01 10:27:00;  2025-07-01 10:25:16
  85:151:6145;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 10:01:00;  2025-07-01 10:01:32;         Pully, Val-Vert;  2025-07-01 10:31:00;  2025-07-01 10:30:57
  85:151:6208;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 10:04:00;  2025-07-01 10:04:09;  Prilly, Galicien/aréna;  2025-07-01 10:35:00;  2025-07-01 10:36:09
  85:151:6173;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 10:10:00;  2025-07-01 10:10:14;         Pully, Val-Vert;  2025-07-01 10:40:00;  2025-07-01 10:38:29
  85:151:6318;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 10:12:00;  2025-07-01 10:12:17;  Prilly, Galicien/aréna;  2025-07-01 10:43:00;  2025-07-01 10:46:10
  85:151:6239;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 10:17:00;  2025-07-01 10:11:47;         Pully, Val-Vert;  2025-07-01 10:47:00;  2025-07-01 10:51:15
  85:151:6118;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 10:19:00;  2025-07-01 10:20:29;  Prilly, Galicien/aréna;  2025-07-01 10:50:00;  2025-07-01 10:48:49
  85:151:6261;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 10:24:00;  2025-07-01 10:24:21;         Pully, Val-Vert;  2025-07-01 10:54:00;  2025-07-01 10:51:29
  85:151:6350;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 10:27:00;  2025-07-01 10:27:15;  Prilly, Galicien/aréna;  2025-07-01 10:58:00;  2025-07-01 10:59:33
  85:151:6287;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 10:31:00;  2025-07-01 10:30:18;         Pully, Val-Vert;  2025-07-01 11:01:00;  2025-07-01 10:59:34
  85:151:6372;  Route_A;               19;          O;         Pully, Val-Vert;  2025-07-01 10:34:00;  2025-07-01 10:35:59;  Prilly, Galicien/aréna;  2025-07-01 11:05:00;  2025-07-01 11:07:35
  85:151:6209;  Route_A;               19;          R;  Prilly, Galicien/aréna;  2025-07-01 10:39:00;  2025-07-01 10:39:13;         Pully, Val-Vert;  2025-07-01 11:09:00;  2025-07-01 11:08:30
