  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;          Start          ;  Start_time_Planned ;   Start_time_Real   ;        End        ;   End_time_Planned  ;    End_time_Real    
  85:151:6407;  Route_B;                6;          O;        Ecublens VD, EPFL;  2025-07-01 05:13:00;  2025-07-01 05:13:00;    Renens VD, gare;  2025-07-01 05:19:00;  2025-07-01 05:19:41
  85:151:6447;  Route_C;                9;          R;  Ecublens VD, UNIL-Sorge;  2025-07-01 05:15:00;  2025-07-01 05:15:04;     Lausanne, Flon;  2025-07-01 05:27:00;  2025-07-01 05:28:31
  85:151:6486;  Route_B;                6;          O;        Ecublens VD, EPFL;  2025-07-01 05:23:00;  2025-07-01 05:23:20;    Renens VD, gare;  2025-07-01 05:29:00;  2025-07-01 05:30:00
  85:151:6534;  Route_C;                9;          R;  Ecublens VD, UNIL-Sorge;  2025-07-01 05:25:00;  2025-07-01 05:25:00;     Lausanne, Flon;  2025-07-01 05:37:00;  2025-07-01 05:35:55
  85:151:6408;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 05:27:00;  2025-07-01 05:27:00;     Lausanne, Flon;  2025-07-01 05:46:00;  2025-07-01 05:45:04
  85:151:6448;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 05:30:00;  2025-07-01 05:30:09;    Renens VD, gare;  2025-07-01 05:49:00;  2025-07-01 05:50:09
  85:151:6581;  Route_B;                6;          O;        Ecublens VD, EPFL;  2025-07-01 05:33:00;  2025-07-01 05:33:10;    Renens VD, gare;  2025-07-01 05:39:00;  2025-07-01 05:40:10
  85:151:6487;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 05:37:00;  2025-07-01 05:37:09;     Lausanne, Flon;  2025-07-01 05:56:00;  2025-07-01 05:56:08
  85:151:6535;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 05:40:00;  2025-07-01 05:40:00;    Renens VD, gare;  2025-07-01 05:59:00;  2025-07-01 06:00:17
  85:151:6582;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 05:47:00;  2025-07-01 05:47:11;     Lausanne, Flon;  2025-07-01 06:06:00;  2025-07-01 06:05:45
  85:151:6409;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 05:50:00;  2025-07-01 05:50:00;    Renens VD, gare;  2025-07-01 06:09:00;  2025-07-01 06:10:00
  85:151:6449;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 05:57:00;  2025-07-01 05:57:00;     Lausanne, Flon;  2025-07-01 06:16:00;  2025-07-01 06:15:23
  85:151:6488;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 06:00:00;  2025-07-01 06:00:20;    Renens VD, gare;  2025-07-01 06:19:00;  2025-07-01 06:20:20
  85:151:6536;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 06:07:00;  2025-07-01 06:07:16;     Lausanne, Flon;  2025-07-01 06:26:00;  2025-07-01 06:25:39
  85:151:6583;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 06:10:00;  2025-07-01 06:10:09;    Renens VD, gare;  2025-07-01 06:29:00;  2025-07-01 06:30:06
  85:151:6410;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 06:17:00;  2025-07-01 06:17:00;     Lausanne, Flon;  2025-07-01 06:36:00;  2025-07-01 06:35:20
  85:151:6450;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 06:20:00;  2025-07-01 06:20:09;    Renens VD, gare;  2025-07-01 06:39:00;  2025-07-01 06:40:05
  85:151:6489;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 06:27:00;  2025-07-01 06:27:07;     Lausanne, Flon;  2025-07-01 06:46:00;  2025-07-01 06:45:27
  85:151:6537;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 06:30:00;  2025-07-01 06:30:00;    Renens VD, gare;  2025-07-01 06:49:00;  2025-07-01 06:50:17
  85:151:6584;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 06:37:00;  2025-07-01 06:37:07;     Lausanne, Flon;  2025-07-01 06:56:00;  2025-07-01 06:55:51
  85:151:6628;  Route_C;                9;          R;  Ecublens VD, UNIL-Sorge;  2025-07-01 06:39:00;  2025-07-01 06:39:00;     Lausanne, Flon;  2025-07-01 06:52:00;  2025-07-01 06:52:17
  85:151:6411;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 06:40:00;  2025-07-01 06:40:09;    Renens VD, gare;  2025-07-01 06:59:00;  2025-07-01 07:00:07
  85:151:6451;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 06:47:00;  2025-07-01 06:47:00;     Lausanne, Flon;  2025-07-01 07:07:00;  2025-07-01 07:07:23
  85:151:6490;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 06:50:00;  2025-07-01 06:50:16;    Renens VD, gare;  2025-07-01 07:09:00;  2025-07-01 07:10:51
  85:151:6629;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 06:56:00;  2025-07-01 06:56:10;    Renens VD, gare;  2025-07-01 07:15:00;  2025-07-01 07:16:59
  85:151:6673;  Route_B;                6;          O;        Ecublens VD, EPFL;  2025-07-01 06:56:00;  2025-07-01 06:56:06;    Renens VD, gare;  2025-07-01 07:02:00;  2025-07-01 07:03:06
  85:151:6538;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 06:57:00;  2025-07-01 06:57:10;     Lausanne, Flon;  2025-07-01 07:16:00;  2025-07-01 07:18:17
  85:151:6412;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 07:03:00;  2025-07-01 07:03:00;     Lausanne, Flon;  2025-07-01 07:22:00;  2025-07-01 07:21:59
  85:151:6585;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 07:05:00;  2025-07-01 07:05:25;    Renens VD, gare;  2025-07-01 07:24:00;  2025-07-01 07:25:44
  85:151:6674;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 07:11:00;  2025-07-01 07:11:00;     Lausanne, Flon;  2025-07-01 07:30:00;  2025-07-01 07:31:36
  85:151:6452;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 07:12:00;  2025-07-01 07:12:00;    Renens VD, gare;  2025-07-01 07:31:00;  2025-07-01 07:32:13
  85:151:6491;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 07:18:00;  2025-07-01 07:18:00;     Lausanne, Flon;  2025-07-01 07:37:00;  2025-07-01 07:38:11
  85:151:6539;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 07:20:00;  2025-07-01 07:20:00;    Renens VD, gare;  2025-07-01 07:39:00;  2025-07-01 07:40:37
  85:151:6630;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 07:26:00;  2025-07-01 07:26:09;     Lausanne, Flon;  2025-07-01 07:45:00;  2025-07-01 07:45:30
  85:151:6413;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 07:27:00;  2025-07-01 07:27:00;    Renens VD, gare;  2025-07-01 07:46:00;  2025-07-01 07:47:34
  85:151:6586;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 07:33:00;  2025-07-01 07:33:15;     Lausanne, Flon;  2025-07-01 07:52:00;  2025-07-01 07:52:17
  85:151:6675;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 07:35:00;  2025-07-01 07:35:13;    Renens VD, gare;  2025-07-01 07:54:00;  2025-07-01 07:53:13
  85:151:6453;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 07:41:00;  2025-07-01 07:41:00;     Lausanne, Flon;  2025-07-01 08:00:00;  2025-07-01 08:01:13
  85:151:6492;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 07:42:00;  2025-07-01 07:42:09;    Renens VD, gare;  2025-07-01 08:01:00;  2025-07-01 08:02:06
  85:151:6540;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 07:48:00;  2025-07-01 07:48:07;     Lausanne, Flon;  2025-07-01 08:07:00;  2025-07-01 08:08:46
  85:151:6631;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 07:50:00;  2025-07-01 07:50:19;    Renens VD, gare;  2025-07-01 08:09:00;  2025-07-01 08:09:15
  85:151:6414;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 07:56:00;  2025-07-01 07:56:22;     Lausanne, Flon;  2025-07-01 08:15:00;  2025-07-01 08:15:39
  85:151:6587;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 07:57:00;  2025-07-01 07:57:00;    Renens VD, gare;  2025-07-01 08:16:00;  2025-07-01 08:16:59
  85:151:6676;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 08:03:00;  2025-07-01 08:03:09;     Lausanne, Flon;  2025-07-01 08:22:00;  2025-07-01 08:22:46
  85:151:6454;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 08:05:00;  2025-07-01 08:05:05;    Renens VD, gare;  2025-07-01 08:24:00;  2025-07-01 08:24:08
  85:151:6493;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 08:11:00;  2025-07-01 08:11:15;     Lausanne, Flon;  2025-07-01 08:30:00;  2025-07-01 08:30:55
  85:151:6541;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 08:12:00;  2025-07-01 08:12:29;    Renens VD, gare;  2025-07-01 08:31:00;  2025-07-01 08:32:47
  85:151:6632;  Route_A;               15;          R;          Renens VD, gare;  2025-07-01 08:18:00;  2025-07-01 08:18:00;     Lausanne, Flon;  2025-07-01 08:37:00;  2025-07-01 08:37:45
  85:151:6415;  Route_A;               15;          O;           Lausanne, Flon;  2025-07-01 08:20:00;  2025-07-01 08:20:09;    Renens VD, gare;  2025-07-01 08:39:00;  2025-07-01 08:39:49
