  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;            Start            ;  Start_time_Planned ;   Start_time_Real   ;             End             ;   End_time_Planned  ;    End_time_Real    
  85:151:6718;  Route_E;               17;          O;  Lausanne, Riponne-M. Béjart;  2025-07-01 05:00:00;  2025-07-01 04:59:50;   Le Mont-sur-L., Grand-Mont;  2025-07-01 05:14:00;  2025-07-01 05:12:59
  85:151:6746;  Route_G;               11;          R;            Lausanne, Bel-Air;  2025-07-01 05:00:00;  2025-07-01 05:00:00;                  Pully, gare;  2025-07-01 05:12:00;  2025-07-01 05:10:44
  85:151:6774;  Route_G;               11;          R;            Lausanne, Bel-Air;  2025-07-01 05:14:00;  2025-07-01 05:13:37;                  Pully, gare;  2025-07-01 05:26:00;  2025-07-01 05:25:10
  85:151:6747;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 05:15:00;  2025-07-01 05:16:21;   Le Mont-sur-L., Grand-Mont;  2025-07-01 05:42:00;  2025-07-01 05:41:00
  85:151:6809;  Route_E;               17;          O;  Lausanne, Riponne-M. Béjart;  2025-07-01 05:15:00;  2025-07-01 05:15:00;   Le Mont-sur-L., Grand-Mont;  2025-07-01 05:29:00;  2025-07-01 05:29:00
  85:151:6719;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 05:17:00;  2025-07-01 05:17:00;                  Pully, gare;  2025-07-01 05:45:00;  2025-07-01 05:44:50
  85:151:6841;  Route_G;               11;          R;            Lausanne, Bel-Air;  2025-07-01 05:26:00;  2025-07-01 05:26:49;                  Pully, gare;  2025-07-01 05:38:00;  2025-07-01 05:37:29
  85:151:6775;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 05:30:00;  2025-07-01 05:30:26;   Le Mont-sur-L., Grand-Mont;  2025-07-01 05:57:00;  2025-07-01 05:56:26
  85:151:6810;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 05:32:00;  2025-07-01 05:32:00;                  Pully, gare;  2025-07-01 06:00:00;  2025-07-01 06:00:00
  85:151:6842;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 05:45:00;  2025-07-01 05:45:00;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:12:00;  2025-07-01 06:13:32
  85:151:6748;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 05:47:00;  2025-07-01 05:47:20;                  Pully, gare;  2025-07-01 06:15:00;  2025-07-01 06:14:01
  85:151:6720;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 06:00:00;  2025-07-01 06:00:19;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:27:00;  2025-07-01 06:26:17
  85:151:6776;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:02:00;  2025-07-01 06:02:26;                  Pully, gare;  2025-07-01 06:32:00;  2025-07-01 06:32:59
  85:151:6811;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 06:15:00;  2025-07-01 06:15:00;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:43:00;  2025-07-01 06:43:00
  85:151:6843;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:17:00;  2025-07-01 06:17:07;                  Pully, gare;  2025-07-01 06:50:00;  2025-07-01 06:51:48
  85:151:6868;  Route_E;               17;          O;  Lausanne, Riponne-M. Béjart;  2025-07-01 06:21:00;  2025-07-01 06:24:02;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:36:00;  2025-07-01 06:39:20
  85:151:6878;  Route_G;               11;          R;            Lausanne, Bel-Air;  2025-07-01 06:27:00;  2025-07-01 06:28:41;                  Pully, gare;  2025-07-01 06:41:00;  2025-07-01 06:39:22
  85:151:6749;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 06:30:00;  2025-07-01 06:30:00;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:59:00;  2025-07-01 07:02:09
  85:151:6721;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:32:00;  2025-07-01 06:32:33;                  Pully, gare;  2025-07-01 07:07:00;  2025-07-01 07:06:09
  85:151:6887;  Route_E;               17;          O;  Lausanne, Riponne-M. Béjart;  2025-07-01 06:36:00;  2025-07-01 06:35:49;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:51:00;  2025-07-01 06:50:39
  85:151:6777;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 06:38:00;  2025-07-01 06:38:45;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:11:00;  2025-07-01 07:08:15
  85:151:6869;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:39:00;  2025-07-01 06:40:41;                  Pully, gare;  2025-07-01 07:16:00;  2025-07-01 07:15:33
  85:151:6910;  Route_G;               11;          R;            Lausanne, Bel-Air;  2025-07-01 06:41:00;  2025-07-01 06:44:00;                  Pully, gare;  2025-07-01 06:55:00;  2025-07-01 06:55:40
  85:151:6879;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 06:46:00;  2025-07-01 06:46:42;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:21:00;  2025-07-01 07:20:01
  85:151:6812;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:47:00;  2025-07-01 06:47:00;                  Pully, gare;  2025-07-01 07:24:00;  2025-07-01 07:24:00
  85:151:6941;  Route_G;               11;          R;            Lausanne, Bel-Air;  2025-07-01 06:47:00;  2025-07-01 06:50:42;                  Pully, gare;  2025-07-01 07:01:00;  2025-07-01 07:02:42
  85:151:6933;  Route_E;               17;          O;  Lausanne, Riponne-M. Béjart;  2025-07-01 06:47:00;  2025-07-01 06:49:47;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:04:00;  2025-07-01 07:02:47
  85:151:6844;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 06:53:00;  2025-07-01 06:53:47;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:28:00;  2025-07-01 07:27:23
  85:151:6888;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 06:55:00;  2025-07-01 06:55:00;                  Pully, gare;  2025-07-01 07:32:00;  2025-07-01 07:32:01
  85:151:6972;  Route_E;               17;          O;  Lausanne, Riponne-M. Béjart;  2025-07-01 06:57:00;  2025-07-01 06:58:41;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:16:00;  2025-07-01 07:14:31
  85:151:6911;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 07:00:00;  2025-07-01 07:00:00;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:37:00;  2025-07-01 07:37:51
  85:151:6750;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:02:00;  2025-07-01 07:02:31;                  Pully, gare;  2025-07-01 07:40:00;  2025-07-01 07:37:34
  85:151:6942;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 07:07:00;  2025-07-01 07:07:39;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:44:00;  2025-07-01 07:46:21
  85:151:6934;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:08:00;  2025-07-01 07:08:26;                  Pully, gare;  2025-07-01 07:47:00;  2025-07-01 07:45:21
  85:151:6722;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 07:15:00;  2025-07-01 07:15:19;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:53:00;  2025-07-01 07:55:25
  85:151:6778;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:16:00;  2025-07-01 07:16:15;                  Pully, gare;  2025-07-01 07:55:00;  2025-07-01 07:55:13
  85:151:6870;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 07:23:00;  2025-07-01 07:26:50;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:01:00;  2025-07-01 08:05:50
  85:151:6973;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:23:00;  2025-07-01 07:23:29;                  Pully, gare;  2025-07-01 08:02:00;  2025-07-01 08:01:14
  85:151:6880;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:30:00;  2025-07-01 07:30:20;                  Pully, gare;  2025-07-01 08:10:00;  2025-07-01 08:13:28
  85:151:6813;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 07:31:00;  2025-07-01 07:31:00;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:09:00;  2025-07-01 08:09:00
  85:151:6845;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:37:00;  2025-07-01 07:37:00;                  Pully, gare;  2025-07-01 08:17:00;  2025-07-01 08:20:06
  85:151:6889;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 07:38:00;  2025-07-01 07:34:47;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:16:00;  2025-07-01 08:10:39
  85:151:6912;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:45:00;  2025-07-01 07:45:26;                  Pully, gare;  2025-07-01 08:25:00;  2025-07-01 08:25:00
  85:151:6751;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 07:46:00;  2025-07-01 07:44:03;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:24:00;  2025-07-01 08:20:59
  85:151:6943;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 07:52:00;  2025-07-01 07:52:57;                  Pully, gare;  2025-07-01 08:32:00;  2025-07-01 08:31:36
  85:151:6935;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 07:53:00;  2025-07-01 07:53:17;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:31:00;  2025-07-01 08:29:57
  85:151:6723;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:00:00;  2025-07-01 08:02:21;                  Pully, gare;  2025-07-01 08:40:00;  2025-07-01 08:42:24
  85:151:6779;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 08:01:00;  2025-07-01 08:01:17;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:38:00;  2025-07-01 08:36:18
  85:151:6871;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:07:00;  2025-07-01 08:11:24;                  Pully, gare;  2025-07-01 08:47:00;  2025-07-01 08:50:37
  85:151:6974;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 08:08:00;  2025-07-01 08:08:12;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:45:00;  2025-07-01 08:43:24
  85:151:6881;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 08:16:00;  2025-07-01 08:17:17;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:53:00;  2025-07-01 08:50:31
  85:151:6814;  Route_B;               27;          R;   Le Mont-sur-L., Grand-Mont;  2025-07-01 08:16:00;  2025-07-01 08:16:00;                  Pully, gare;  2025-07-01 08:55:00;  2025-07-01 08:55:00
  85:151:6846;  Route_A;               28;          O;                  Pully, gare;  2025-07-01 08:23:00;  2025-07-01 08:23:00;   Le Mont-sur-L., Grand-Mont;  2025-07-01 09:00:00;  2025-07-01 08:59:21
