  JOURNEY_ID ;  Route  ; Number_of_stops ; Direction ;       Start       ;  Start_time_Planned ;   Start_time_Real   ;          End          ;   End_time_Planned  ;    End_time_Real    
  85:151:7043;  Route_D;               17;          O;  Lausanne, Bel-Air;  2025-07-01 05:01:00;  2025-07-01 05:01:11;        Lutry, Corniche;  2025-07-01 05:17:00;  2025-07-01 05:14:51
  85:151:7071;  Route_I;               10;          R;  Lausanne, Bel-Air;  2025-07-01 05:02:00;  2025-07-01 05:01:52;         Prilly, église;  2025-07-01 05:11:00;  2025-07-01 05:11:08
  85:151:7072;  Route_B;               26;          O;     Prilly, église;  2025-07-01 05:15:00;  2025-07-01 05:15:09;        Lutry, Corniche;  2025-07-01 05:44:00;  2025-07-01 05:43:56
  85:151:7096;  Route_D;               17;          O;  Lausanne, Bel-Air;  2025-07-01 05:16:00;  2025-07-01 05:17:21;        Lutry, Corniche;  2025-07-01 05:32:00;  2025-07-01 05:31:04
  85:151:7123;  Route_I;               10;          R;  Lausanne, Bel-Air;  2025-07-01 05:17:00;  2025-07-01 05:18:25;         Prilly, église;  2025-07-01 05:26:00;  2025-07-01 05:27:26
  85:151:7044;  Route_A;               25;          R;    Lutry, Corniche;  2025-07-01 05:21:00;  2025-07-01 05:21:00;         Prilly, église;  2025-07-01 05:48:00;  2025-07-01 05:46:47
  85:151:7124;  Route_B;               26;          O;     Prilly, église;  2025-07-01 05:30:00;  2025-07-01 05:31:04;        Lutry, Corniche;  2025-07-01 05:59:00;  2025-07-01 06:00:29
  85:151:7134;  Route_I;               10;          R;  Lausanne, Bel-Air;  2025-07-01 05:31:00;  2025-07-01 05:31:25;         Prilly, église;  2025-07-01 05:40:00;  2025-07-01 05:41:01
  85:151:7097;  Route_A;               25;          R;    Lutry, Corniche;  2025-07-01 05:36:00;  2025-07-01 05:36:21;         Prilly, église;  2025-07-01 06:03:00;  2025-07-01 06:02:12
  85:151:7135;  Route_B;               26;          O;     Prilly, église;  2025-07-01 05:44:00;  2025-07-01 05:44:00;        Lutry, Corniche;  2025-07-01 06:15:00;  2025-07-01 06:16:50
  85:151:7073;  Route_A;               25;          R;    Lutry, Corniche;  2025-07-01 05:50:00;  2025-07-01 05:50:29;         Prilly, église;  2025-07-01 06:19:00;  2025-07-01 06:19:16
  85:151:7045;  Route_B;               26;          O;     Prilly, église;  2025-07-01 05:59:00;  2025-07-01 05:59:11;        Lutry, Corniche;  2025-07-01 06:30:00;  2025-07-01 06:29:34
  85:151:7125;  Route_A;               25;          R;    Lutry, Corniche;  2025-07-01 06:05:00;  2025-07-01 06:06:19;         Prilly, église;  2025-07-01 06:35:00;  2025-07-01 06:37:38
  85:151:7167;  Route_D;               17;          O;  Lausanne, Bel-Air;  2025-07-01 06:07:00;  2025-07-01 06:10:25;        Lutry, Corniche;  2025-07-01 06:24:00;  2025-07-01 06:25:21
  85:151:7098;  Route_B;               26;          O;     Prilly, église;  2025-07-01 06:13:00;  2025-07-01 06:13:00;        Lutry, Corniche;  2025-07-01 06:46:00;  2025-07-01 06:44:13
  85:151:7191;  Route_D;               17;          O;  Lausanne, Bel-Air;  2025-07-01 06:17:00;  2025-07-01 06:17:44;        Lutry, Corniche;  2025-07-01 06:36:00;  2025-07-01 06:35:17
  85:151:7214;  Route_I;               10;          R;  Lausanne, Bel-Air;  2025-07-01 06:19:00;  2025-07-01 06:20:23;         Prilly, église;  2025-07-01 06:29:00;  2025-07-01 06:29:21
  85:151:7136;  Route_A;               25;          R;    Lutry, Corniche;  2025-07-01 06:20:00;  2025-07-01 06:20:22;         Prilly, église;  2025-07-01 06:50:00;  2025-07-01 06:51:58
  85:151:7246;  Route_D;               17;          O;  Lausanne, Bel-Air;  2025-07-01 06:22:00;  2025-07-01 06:23:39;        Lutry, Corniche;  2025-07-01 06:41:00;  2025-07-01 06:40:14
  85:151:7168;  Route_A;               25;          R;    Lutry, Corniche;  2025-07-01 06:28:00;  2025-07-01 06:34:25;         Prilly, église;  2025-07-01 06:58:00;  2025-07-01 07:06:20
