             JOURNEY_ID            ;  Route  ; Number_of_stops ; Direction ;             Start             ;  Start_time_Planned ;   Start_time_Real   ;          End           ;   End_time_Planned  ;    End_time_Real    
  85:764:1001_701-A-111_0510_BPS124;  Route_B;               24;          R;         Tolochenaz, La Plantaz;  2025-07-01 05:10:00;  2025-07-01 05:12:18;  Lausanne, Bourdonnette;  2025-07-01 05:37:00;  2025-07-01 05:34:58
  85:764:1003_701-A-111_0525_BPS124;  Route_B;               24;          R;         Tolochenaz, La Plantaz;  2025-07-01 05:25:00;  2025-07-01 05:25:54;  Lausanne, Bourdonnette;  2025-07-01 05:52:00;  2025-07-01 05:50:25
  85:764:1005_701-A-111_0540_BPS124;  Route_B;               24;          R;              Morges, Prélionne;  2025-07-01 05:40:00;  2025-07-01 05:43:57;  Lausanne, Bourdonnette;  2025-07-01 06:07:00;  2025-07-01 06:05:29
  85:764:1000_701-R-201_0545_BPS124;  Route_A;               24;          O;         Lausanne, Bourdonnette;  2025-07-01 05:45:00;  2025-07-01 05:47:26;  Tolochenaz, La Plantaz;  2025-07-01 06:12:00;  2025-07-01 06:11:22
  85:764:1007_701-A-111_0550_BPS124;  Route_B;               24;          R;              Morges, Prélionne;  2025-07-01 05:50:00;  2025-07-01 05:52:02;  Lausanne, Bourdonnette;  2025-07-01 06:19:00;  2025-07-01 06:19:28
  85:764:1009_701-A-111_0600_BPS124;  Route_B;               24;          R;         Tolochenaz, La Plantaz;  2025-07-01 06:00:00;  2025-07-01 06:00:41;  Lausanne, Bourdonnette;  2025-07-01 06:30:00;  2025-07-01 06:27:52
  85:764:1002_701-R-201_0600_BPS124;  Route_A;               24;          O;         Lausanne, Bourdonnette;  2025-07-01 06:00:00;  2025-07-01 06:00:56;  Tolochenaz, La Plantaz;  2025-07-01 06:28:00;  2025-07-01 06:29:12
  85:764:1011_701-A-111_0610_BPS124;  Route_B;               24;          R;         Tolochenaz, La Plantaz;  2025-07-01 06:10:00;  2025-07-01 06:10:48;  Lausanne, Bourdonnette;  2025-07-01 06:40:00;  2025-07-01 06:39:21
  85:764:1004_701-R-201_0615_BPS124;  Route_A;               24;          O;         Lausanne, Bourdonnette;  2025-07-01 06:15:00;  2025-07-01 06:17:15;  Tolochenaz, La Plantaz;  2025-07-01 06:43:00;  2025-07-01 06:44:54
  85:764:1013_701-A-101_0617_BPS124;  Route_B;               24;          R;         Tolochenaz, La Plantaz;  2025-07-01 06:17:00;  2025-07-01 06:18:10;  Lausanne, Bourdonnette;  2025-07-01 06:48:00;  2025-07-01 06:46:05
