             JOURNEY_ID            ;  Route  ; Number_of_stops ; Direction ;          Start          ;  Start_time_Planned ;   Start_time_Real   ;           End           ;   End_time_Planned  ;    End_time_Real    
  85:764:2001_702-A-101_0510_BPS124;  Route_A;               27;          R;     Tolochenaz, Les Saux;  2025-07-01 05:10:00;  2025-07-01 05:11:20;       Bussigny, gare sud;  2025-07-01 05:38:00;  2025-07-01 05:36:21
  85:764:2003_702-A-101_0525_BPS124;  Route_A;               27;          R;     Tolochenaz, Les Saux;  2025-07-01 05:25:00;  2025-07-01 05:25:42;       Bussigny, gare sud;  2025-07-01 05:53:00;  2025-07-01 05:51:27
  85:764:2000_702-R-202_0532_BPS124;  Route_C;               25;          O;  Echandens, Chocolatière;  2025-07-01 05:32:00;  2025-07-01 05:33:30;     Tolochenaz, Les Saux;  2025-07-01 05:58:00;  2025-07-01 05:58:16
  85:764:2005_702-A-101_0540_BPS124;  Route_A;               27;          R;     Tolochenaz, Les Saux;  2025-07-01 05:40:00;  2025-07-01 05:42:18;        Bussigny, Bosquet;  2025-07-01 06:09:00;  2025-07-01 06:08:29
  85:764:2002_702-R-201_0545_BPS124;  Route_B;               28;          O;       Bussigny, gare sud;  2025-07-01 05:45:00;  2025-07-01 05:46:14;     Tolochenaz, Les Saux;  2025-07-01 06:16:00;  2025-07-01 06:47:43
  85:764:2007_702-A-101_0555_BPS124;  Route_A;               27;          R;     Tolochenaz, Les Saux;  2025-07-01 05:55:00;  2025-07-01 05:55:26;       Bussigny, gare sud;  2025-07-01 06:24:00;  2025-07-01 06:21:05
  85:764:2004_702-R-201_0558_BPS124;  Route_B;               28;          O;       Bussigny, gare sud;  2025-07-01 05:58:00;  2025-07-01 05:58:49;     Tolochenaz, Les Saux;  2025-07-01 06:29:00;  2025-07-01 06:29:54
  85:764:2009_702-A-101_0605_BPS124;  Route_A;               27;          R;     Tolochenaz, Les Saux;  2025-07-01 06:05:00;  2025-07-01 06:05:36;       Bussigny, gare sud;  2025-07-01 06:34:00;  2025-07-01 06:32:17
  85:764:2006_702-R-201_0613_BPS124;  Route_B;               28;          O;       Bussigny, gare sud;  2025-07-01 06:13:00;  2025-07-01 06:14:21;     Tolochenaz, Les Saux;  2025-07-01 06:44:00;  2025-07-01 06:47:48
  85:764:2011_702-A-101_0615_BPS124;  Route_A;               27;          R;     Tolochenaz, Les Saux;  2025-07-01 06:15:00;  2025-07-01 06:16:42;       Bussigny, gare sud;  2025-07-01 06:44:00;  2025-07-01 06:45:53
