           STOP_NAME            ; STOP_NUMBER ;   POSITION_X  ;   POSITION_Y  ;       DISTANCE      
                    Morges, gare;      8570084;  2527527.52285;  1151442.27829;   -7034.117918998918
            Morges, Charpentiers;      8592262;      2527706.0;      1151398.0;   -6872.278224312423
                  Morges, Pâquis;      8570089;  2527951.44519;  1151742.49306;   -6500.006082608969
            Morges, de Beausobre;      8592263;  2528116.72958;  1152144.75222;   -6117.256864636268
          Morges, Les Pétoleyres;      8570090;  2528308.12773;   1152517.9343;   -5697.854770391857
           Echichens, Gravelines;      8570091;  2528514.71755;  1152879.72737;   -5281.233144419651
                     Lonay, parc;      8592254;      2529262.0;      1153429.0;   -4353.800407157871
       Bremblens, bas du village;      8570092;  2529116.91898;  1155267.30483;  -2509.7794879799776
  Romanel-sur-Morges, Pra-Vuatte;      8581054;  2528955.29277;  1155959.18658;   -1799.270242620064
       Romanel-sur-Morges, poste;      8504656;  2528866.27296;  1156463.60475;   -1287.057184607542
                 Aclens, collège;      8570093;      2528825.0;      1157750.0;                  0.0
  Romanel-sur-Morges,Z.I. Moulin;      8506417;  2529703.32987;  1157213.80197;   1029.0635004265864
  Vufflens-Aclens, zone industr.;      8583891;  2529929.71858;  1157463.97825;    1366.465366293017
              Bussigny, gare sud;      8595216;  2531993.31708;  1155456.17983;    4245.648108766248
