    JOURNEY_ID    ;  Route  ; Number_of_stops ; Direction ;          Start           ;  Start_time_Planned ;   Start_time_Real   ;           End            ;   End_time_Planned  ;    End_time_Real    
  85:801:43501-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 05:32:00;  2025-07-01 05:33:27;     Epalinges, Croisettes;  2025-07-01 06:13:00;  2025-07-01 06:08:19
  85:801:43503-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 06:02:00;  2025-07-01 06:02:32;     Epalinges, Croisettes;  2025-07-01 06:43:00;  2025-07-01 06:42:00
  85:801:43502-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 06:17:00;  2025-07-01 06:18:44;  Thierrens, gare routière;  2025-07-01 06:56:00;  2025-07-01 06:51:15
  85:801:43507-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 06:32:00;  2025-07-01 06:33:29;     Epalinges, Croisettes;  2025-07-01 07:13:00;  2025-07-01 07:11:55
  85:801:43504-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 06:47:00;  2025-07-01 06:47:25;  Thierrens, gare routière;  2025-07-01 07:26:00;  2025-07-01 07:28:38
  85:801:43509-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 07:02:00;  2025-07-01 06:52:47;     Epalinges, Croisettes;  2025-07-01 07:43:00;  2025-07-01 07:47:58
  85:801:43510-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 07:17:00;  2025-07-01 07:17:18;  Thierrens, gare routière;  2025-07-01 07:56:00;  2025-07-01 07:52:24
  85:801:43511-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 07:32:00;  2025-07-01 07:33:39;     Epalinges, Croisettes;  2025-07-01 08:13:00;  2025-07-01 08:15:48
  85:801:43512-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 07:47:00;  2025-07-01 07:52:08;  Thierrens, gare routière;  2025-07-01 08:26:00;  2025-07-01 08:25:56
  85:801:43518-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 08:17:00;  2025-07-01 08:17:21;  Thierrens, gare routière;  2025-07-01 08:56:00;  2025-07-01 08:54:06
  85:801:43515-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 09:02:00;  2025-07-01 09:02:22;     Epalinges, Croisettes;  2025-07-01 09:43:00;  2025-07-01 09:38:37
  85:801:43520-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 09:47:00;  2025-07-01 09:47:19;  Thierrens, gare routière;  2025-07-01 10:26:00;  2025-07-01 10:20:59
  85:801:43519-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 10:32:00;  2025-07-01 10:32:32;     Epalinges, Croisettes;  2025-07-01 11:13:00;  2025-07-01 11:07:02
  85:801:43524-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 11:17:00;  2025-07-01 11:18:08;  Thierrens, gare routière;  2025-07-01 11:56:00;  2025-07-01 11:51:39
  85:801:43525-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 12:02:00;  2025-07-01 12:03:30;     Epalinges, Croisettes;  2025-07-01 12:43:00;  2025-07-01 12:41:28
  85:801:43529-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 12:32:00;  2025-07-01 12:32:43;     Epalinges, Croisettes;  2025-07-01 13:13:00;  2025-07-01 13:07:53
  85:801:43526-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 12:47:00;  2025-07-01 12:47:22;  Thierrens, gare routière;  2025-07-01 13:26:00;  2025-07-01 13:23:11
  85:801:43532-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 13:17:00;  2025-07-01 13:17:20;  Thierrens, gare routière;  2025-07-01 13:56:00;  2025-07-01 13:51:28
  85:801:43531-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 13:32:00;  2025-07-01 13:31:44;     Epalinges, Croisettes;  2025-07-01 14:13:00;  2025-07-01 14:09:15
  85:801:43534-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 14:17:00;  2025-07-01 14:17:50;  Thierrens, gare routière;  2025-07-01 14:56:00;  2025-07-01 14:52:51
  85:801:43537-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 15:02:00;  2025-07-01 15:02:30;     Epalinges, Croisettes;  2025-07-01 15:43:00;  2025-07-01 15:41:43
  85:801:43543-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 15:32:00;  2025-07-01 15:32:00;     Epalinges, Croisettes;  2025-07-01 16:13:00;  2025-07-01 16:09:26
  85:801:43538-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 15:47:00;  2025-07-01 15:48:29;  Thierrens, gare routière;  2025-07-01 16:26:00;  2025-07-01 16:25:40
  85:801:43545-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 16:02:00;  2025-07-01 16:03:03;     Epalinges, Croisettes;  2025-07-01 16:43:00;  2025-07-01 16:37:29
  85:801:43542-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 16:17:00;  2025-07-01 16:17:16;  Thierrens, gare routière;  2025-07-01 16:56:00;  2025-07-01 16:51:12
  85:801:43547-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 16:32:00;  2025-07-01 16:33:31;     Epalinges, Croisettes;  2025-07-01 17:13:00;  2025-07-01 17:12:05
  85:801:43544-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 16:47:00;  2025-07-01 16:49:01;  Thierrens, gare routière;  2025-07-01 17:26:00;  2025-07-01 17:23:59
  85:801:43551-171;  Route_A;               24;          R;  Thierrens, gare routière;  2025-07-01 17:02:00;  2025-07-01 16:51:51;     Epalinges, Croisettes;  2025-07-01 17:43:00;  2025-07-01 17:39:12
  85:801:43546-171;  Route_A;               24;          O;     Epalinges, Croisettes;  2025-07-01 17:17:00;  2025-07-01 17:17:31;  Thierrens, gare routière;  2025-07-01 17:56:00;  2025-07-01 18:04:07
