           STOP_NAME            ; STOP_NUMBER ;   EVENT   ;   85:801:43501-171  ;   85:801:43503-171  ;   85:801:43502-171  ;   85:801:43507-171  ;   85:801:43504-171  ;   85:801:43509-171  ;   85:801:43510-171  ;   85:801:43511-171  ;   85:801:43512-171  ;   85:801:43518-171  ;   85:801:43515-171  ;   85:801:43520-171  ;   85:801:43519-171  ;   85:801:43524-171  ;   85:801:43525-171  ;   85:801:43529-171  ;   85:801:43526-171  ;   85:801:43532-171  ;   85:801:43531-171  ;   85:801:43534-171  ;   85:801:43537-171  ;   85:801:43543-171  ;   85:801:43538-171  ;   85:801:43545-171  ;   85:801:43542-171  ;   85:801:43547-171  ;   85:801:43544-171  ;   85:801:43551-171  ;   85:801:43546-171  ;   85:801:43553-171  ;   85:801:43550-171  ;   85:801:43555-171  ;   85:801:43552-171  ;   85:801:43559-171  ;   85:801:43556-171  ;   85:801:43558-171  ;   85:801:43561-171  ;   85:801:43560-171  ;   85:801:43565-171  ;   85:801:43564-171  ;   85:801:43569-171  ;   85:801:43568-171  
           Epalinges, Croisettes;      8579239;    ARRIVAL;  2025-07-01 06:13:00;  2025-07-01 06:43:00;                     ;  2025-07-01 07:13:00;                     ;  2025-07-01 07:43:00;                     ;  2025-07-01 08:13:00;                     ;                     ;  2025-07-01 09:43:00;                     ;  2025-07-01 11:13:00;                     ;  2025-07-01 12:43:00;  2025-07-01 13:13:00;                     ;                     ;  2025-07-01 14:13:00;                     ;  2025-07-01 15:43:00;  2025-07-01 16:13:00;                     ;  2025-07-01 16:43:00;                     ;  2025-07-01 17:13:00;                     ;  2025-07-01 17:43:00;                     ;  2025-07-01 18:13:00;                     ;  2025-07-01 18:43:00;                     ;  2025-07-01 19:13:00;                     ;                     ;  2025-07-01 20:13:00;                     ;  2025-07-01 21:43:00;                     ;  2025-07-01 23:13:00;                     
           Epalinges, Croisettes;      8579239;  DEPARTURE;                     ;                     ;  2025-07-01 06:17:00;                     ;  2025-07-01 06:47:00;                     ;  2025-07-01 07:17:00;                     ;  2025-07-01 07:47:00;  2025-07-01 08:17:00;                     ;  2025-07-01 09:47:00;                     ;  2025-07-01 11:17:00;                     ;                     ;  2025-07-01 12:47:00;  2025-07-01 13:17:00;                     ;  2025-07-01 14:17:00;                     ;                     ;  2025-07-01 15:47:00;                     ;  2025-07-01 16:17:00;                     ;  2025-07-01 16:47:00;                     ;  2025-07-01 17:17:00;                     ;  2025-07-01 17:47:00;                     ;  2025-07-01 18:17:00;                     ;  2025-07-01 18:47:00;  2025-07-01 19:17:00;                     ;  2025-07-01 20:17:00;                     ;  2025-07-01 21:47:00;                     ;  2025-07-01 23:17:00
            Epalinges, Lion d'Or;      8587546;    ARRIVAL;  2025-07-01 06:04:00;  2025-07-01 06:34:00;  2025-07-01 06:19:00;  2025-07-01 07:04:00;  2025-07-01 06:49:00;  2025-07-01 07:34:00;  2025-07-01 07:19:00;  2025-07-01 08:04:00;  2025-07-01 07:49:00;  2025-07-01 08:19:00;  2025-07-01 09:34:00;  2025-07-01 09:49:00;  2025-07-01 11:04:00;  2025-07-01 11:19:00;  2025-07-01 12:34:00;  2025-07-01 13:04:00;  2025-07-01 12:49:00;  2025-07-01 13:19:00;  2025-07-01 14:04:00;  2025-07-01 14:19:00;  2025-07-01 15:34:00;  2025-07-01 16:04:00;  2025-07-01 15:49:00;  2025-07-01 16:34:00;  2025-07-01 16:19:00;  2025-07-01 17:04:00;  2025-07-01 16:49:00;  2025-07-01 17:34:00;  2025-07-01 17:19:00;  2025-07-01 18:04:00;  2025-07-01 17:49:00;  2025-07-01 18:34:00;  2025-07-01 18:19:00;  2025-07-01 19:04:00;  2025-07-01 18:49:00;  2025-07-01 19:19:00;  2025-07-01 20:04:00;  2025-07-01 20:19:00;  2025-07-01 21:34:00;  2025-07-01 21:49:00;  2025-07-01 23:04:00;  2025-07-01 23:19:00
            Epalinges, Lion d'Or;      8587546;  DEPARTURE;  2025-07-01 06:04:00;  2025-07-01 06:34:00;  2025-07-01 06:19:00;  2025-07-01 07:04:00;  2025-07-01 06:49:00;  2025-07-01 07:34:00;  2025-07-01 07:19:00;  2025-07-01 08:04:00;  2025-07-01 07:49:00;  2025-07-01 08:19:00;  2025-07-01 09:34:00;  2025-07-01 09:49:00;  2025-07-01 11:04:00;  2025-07-01 11:19:00;  2025-07-01 12:34:00;  2025-07-01 13:04:00;  2025-07-01 12:49:00;  2025-07-01 13:19:00;  2025-07-01 14:04:00;  2025-07-01 14:19:00;  2025-07-01 15:34:00;  2025-07-01 16:04:00;  2025-07-01 15:49:00;  2025-07-01 16:34:00;  2025-07-01 16:19:00;  2025-07-01 17:04:00;  2025-07-01 16:49:00;  2025-07-01 17:34:00;  2025-07-01 17:19:00;  2025-07-01 18:04:00;  2025-07-01 17:49:00;  2025-07-01 18:34:00;  2025-07-01 18:19:00;  2025-07-01 19:04:00;  2025-07-01 18:49:00;  2025-07-01 19:19:00;  2025-07-01 20:04:00;  2025-07-01 20:19:00;  2025-07-01 21:34:00;  2025-07-01 21:49:00;  2025-07-01 23:04:00;  2025-07-01 23:19:00
              Lausanne, En Marin;      8504171;    ARRIVAL;  2025-07-01 06:03:00;  2025-07-01 06:33:00;  2025-07-01 06:20:00;  2025-07-01 07:03:00;  2025-07-01 06:50:00;  2025-07-01 07:33:00;  2025-07-01 07:20:00;  2025-07-01 08:03:00;  2025-07-01 07:50:00;  2025-07-01 08:20:00;  2025-07-01 09:33:00;  2025-07-01 09:50:00;  2025-07-01 11:03:00;  2025-07-01 11:20:00;  2025-07-01 12:33:00;  2025-07-01 13:03:00;  2025-07-01 12:50:00;  2025-07-01 13:20:00;  2025-07-01 14:03:00;  2025-07-01 14:20:00;  2025-07-01 15:33:00;  2025-07-01 16:03:00;  2025-07-01 15:50:00;  2025-07-01 16:33:00;  2025-07-01 16:20:00;  2025-07-01 17:03:00;  2025-07-01 16:50:00;  2025-07-01 17:33:00;  2025-07-01 17:20:00;  2025-07-01 18:03:00;  2025-07-01 17:50:00;  2025-07-01 18:33:00;  2025-07-01 18:20:00;  2025-07-01 19:03:00;  2025-07-01 18:50:00;  2025-07-01 19:20:00;  2025-07-01 20:03:00;  2025-07-01 20:20:00;  2025-07-01 21:33:00;  2025-07-01 21:50:00;  2025-07-01 23:03:00;  2025-07-01 23:20:00
              Lausanne, En Marin;      8504171;  DEPARTURE;  2025-07-01 06:03:00;  2025-07-01 06:33:00;  2025-07-01 06:20:00;  2025-07-01 07:03:00;  2025-07-01 06:50:00;  2025-07-01 07:33:00;  2025-07-01 07:20:00;  2025-07-01 08:03:00;  2025-07-01 07:50:00;  2025-07-01 08:20:00;  2025-07-01 09:33:00;  2025-07-01 09:50:00;  2025-07-01 11:03:00;  2025-07-01 11:20:00;  2025-07-01 12:33:00;  2025-07-01 13:03:00;  2025-07-01 12:50:00;  2025-07-01 13:20:00;  2025-07-01 14:03:00;  2025-07-01 14:20:00;  2025-07-01 15:33:00;  2025-07-01 16:03:00;  2025-07-01 15:50:00;  2025-07-01 16:33:00;  2025-07-01 16:20:00;  2025-07-01 17:03:00;  2025-07-01 16:50:00;  2025-07-01 17:33:00;  2025-07-01 17:20:00;  2025-07-01 18:03:00;  2025-07-01 17:50:00;  2025-07-01 18:33:00;  2025-07-01 18:20:00;  2025-07-01 19:03:00;  2025-07-01 18:50:00;  2025-07-01 19:20:00;  2025-07-01 20:03:00;  2025-07-01 20:20:00;  2025-07-01 21:33:00;  2025-07-01 21:50:00;  2025-07-01 23:03:00;  2025-07-01 23:20:00
         Lausanne, Vert-Bois/EHL;      8592130;    ARRIVAL;  2025-07-01 06:02:00;  2025-07-01 06:32:00;  2025-07-01 06:21:00;  2025-07-01 07:02:00;  2025-07-01 06:51:00;  2025-07-01 07:32:00;  2025-07-01 07:21:00;  2025-07-01 08:02:00;  2025-07-01 07:51:00;  2025-07-01 08:21:00;  2025-07-01 09:32:00;  2025-07-01 09:51:00;  2025-07-01 11:02:00;  2025-07-01 11:21:00;  2025-07-01 12:32:00;  2025-07-01 13:02:00;  2025-07-01 12:51:00;  2025-07-01 13:21:00;  2025-07-01 14:02:00;  2025-07-01 14:21:00;  2025-07-01 15:32:00;  2025-07-01 16:02:00;  2025-07-01 15:51:00;  2025-07-01 16:32:00;  2025-07-01 16:21:00;  2025-07-01 17:02:00;  2025-07-01 16:51:00;  2025-07-01 17:32:00;  2025-07-01 17:21:00;  2025-07-01 18:02:00;  2025-07-01 17:51:00;  2025-07-01 18:32:00;  2025-07-01 18:21:00;  2025-07-01 19:02:00;  2025-07-01 18:51:00;  2025-07-01 19:21:00;  2025-07-01 20:02:00;  2025-07-01 20:21:00;  2025-07-01 21:32:00;  2025-07-01 21:51:00;  2025-07-01 23:02:00;  2025-07-01 23:21:00
         Lausanne, Vert-Bois/EHL;      8592130;  DEPARTURE;  2025-07-01 06:02:00;  2025-07-01 06:32:00;  2025-07-01 06:21:00;  2025-07-01 07:02:00;  2025-07-01 06:51:00;  2025-07-01 07:32:00;  2025-07-01 07:21:00;  2025-07-01 08:02:00;  2025-07-01 07:51:00;  2025-07-01 08:21:00;  2025-07-01 09:32:00;  2025-07-01 09:51:00;  2025-07-01 11:02:00;  2025-07-01 11:21:00;  2025-07-01 12:32:00;  2025-07-01 13:02:00;  2025-07-01 12:51:00;  2025-07-01 13:21:00;  2025-07-01 14:02:00;  2025-07-01 14:21:00;  2025-07-01 15:32:00;  2025-07-01 16:02:00;  2025-07-01 15:51:00;  2025-07-01 16:32:00;  2025-07-01 16:21:00;  2025-07-01 17:02:00;  2025-07-01 16:51:00;  2025-07-01 17:32:00;  2025-07-01 17:21:00;  2025-07-01 18:02:00;  2025-07-01 17:51:00;  2025-07-01 18:32:00;  2025-07-01 18:21:00;  2025-07-01 19:02:00;  2025-07-01 18:51:00;  2025-07-01 19:21:00;  2025-07-01 20:02:00;  2025-07-01 20:21:00;  2025-07-01 21:32:00;  2025-07-01 21:51:00;  2025-07-01 23:02:00;  2025-07-01 23:21:00
        Lausanne, Chalet-à-Gobet;      8587929;    ARRIVAL;  2025-07-01 06:01:00;  2025-07-01 06:31:00;  2025-07-01 06:22:00;  2025-07-01 07:01:00;  2025-07-01 06:52:00;  2025-07-01 07:31:00;  2025-07-01 07:22:00;  2025-07-01 08:01:00;  2025-07-01 07:52:00;  2025-07-01 08:22:00;  2025-07-01 09:31:00;  2025-07-01 09:52:00;  2025-07-01 11:01:00;  2025-07-01 11:22:00;  2025-07-01 12:31:00;  2025-07-01 13:01:00;  2025-07-01 12:52:00;  2025-07-01 13:22:00;  2025-07-01 14:01:00;  2025-07-01 14:22:00;  2025-07-01 15:31:00;  2025-07-01 16:01:00;  2025-07-01 15:52:00;  2025-07-01 16:31:00;  2025-07-01 16:22:00;  2025-07-01 17:01:00;  2025-07-01 16:52:00;  2025-07-01 17:31:00;  2025-07-01 17:22:00;  2025-07-01 18:01:00;  2025-07-01 17:52:00;  2025-07-01 18:31:00;  2025-07-01 18:22:00;  2025-07-01 19:01:00;  2025-07-01 18:52:00;  2025-07-01 19:22:00;  2025-07-01 20:01:00;  2025-07-01 20:22:00;  2025-07-01 21:31:00;  2025-07-01 21:52:00;  2025-07-01 23:01:00;  2025-07-01 23:22:00
        Lausanne, Chalet-à-Gobet;      8587929;  DEPARTURE;  2025-07-01 06:01:00;  2025-07-01 06:31:00;  2025-07-01 06:22:00;  2025-07-01 07:01:00;  2025-07-01 06:52:00;  2025-07-01 07:31:00;  2025-07-01 07:22:00;  2025-07-01 08:01:00;  2025-07-01 07:52:00;  2025-07-01 08:22:00;  2025-07-01 09:31:00;  2025-07-01 09:52:00;  2025-07-01 11:01:00;  2025-07-01 11:22:00;  2025-07-01 12:31:00;  2025-07-01 13:01:00;  2025-07-01 12:52:00;  2025-07-01 13:22:00;  2025-07-01 14:01:00;  2025-07-01 14:22:00;  2025-07-01 15:31:00;  2025-07-01 16:01:00;  2025-07-01 15:52:00;  2025-07-01 16:31:00;  2025-07-01 16:22:00;  2025-07-01 17:01:00;  2025-07-01 16:52:00;  2025-07-01 17:31:00;  2025-07-01 17:22:00;  2025-07-01 18:01:00;  2025-07-01 17:52:00;  2025-07-01 18:31:00;  2025-07-01 18:22:00;  2025-07-01 19:01:00;  2025-07-01 18:52:00;  2025-07-01 19:22:00;  2025-07-01 20:01:00;  2025-07-01 20:22:00;  2025-07-01 21:31:00;  2025-07-01 21:52:00;  2025-07-01 23:01:00;  2025-07-01 23:22:00
