    JOURNEY_ID    ;  Route  ; Number_of_stops ; Direction ;           Start           ;  Start_time_Planned ;   Start_time_Real   ;            End            ;   End_time_Planned  ;    End_time_Real    
  85:801:36001-287;  Route_A;               28;          O;       Mézières VD, station;  2025-07-01 05:37:00;  2025-07-01 05:38:46;           Lausanne, Sallaz;  2025-07-01 06:17:00;  2025-07-01 06:15:22
  85:801:36003-287;  Route_A;               28;          O;       Mézières VD, station;  2025-07-01 06:07:00;  2025-07-01 06:09:09;           Lausanne, Sallaz;  2025-07-01 06:47:00;  2025-07-01 06:47:01
  85:801:36005-287;  Route_B;               44;          O;      Epalinges, Croisettes;  2025-07-01 06:11:00;  2025-07-01 06:11:05;           Lausanne, Sallaz;  2025-07-01 07:17:00;  2025-07-01 07:15:59
  85:801:36002-287;  Route_B;               44;          R;           Lausanne, Sallaz;  2025-07-01 06:12:00;  2025-07-01 06:12:44;      Epalinges, Croisettes;  2025-07-01 07:20:00;  2025-07-01 07:23:50
  85:801:36007-287;  Route_B;               44;          O;      Epalinges, Croisettes;  2025-07-01 06:41:00;  2025-07-01 06:41:51;           Lausanne, Sallaz;  2025-07-01 07:47:00;  2025-07-01 07:50:08
  85:801:36006-287;  Route_A;               28;          R;           Lausanne, Sallaz;  2025-07-01 06:46:00;  2025-07-01 06:47:04;       Mézières VD, station;  2025-07-01 07:24:00;  2025-07-01 07:25:17
  85:801:36015-287;  Route_A;               28;          O;       Mézières VD, station;  2025-07-01 07:37:00;  2025-07-01 07:40:31;           Lausanne, Sallaz;  2025-07-01 08:17:00;  2025-07-01 08:20:12
  85:801:36013-287;  Route_E;               11;          O;            Savigny, centre;  2025-07-01 07:38:00;  2025-07-01 07:39:00;           Lausanne, Sallaz;  2025-07-01 07:56:00;  2025-07-01 07:55:51
  85:801:36017-287;  Route_B;               44;          O;      Epalinges, Croisettes;  2025-07-01 07:41:00;  2025-07-01 07:41:09;           Lausanne, Sallaz;  2025-07-01 08:47:00;  2025-07-01 08:47:04
  85:801:36014-287;  Route_B;               44;          R;           Lausanne, Sallaz;  2025-07-01 07:42:00;  2025-07-01 07:42:40;      Epalinges, Croisettes;  2025-07-01 08:50:00;  2025-07-01 08:49:35
  85:801:36018-287;  Route_B;               44;          R;           Lausanne, Sallaz;  2025-07-01 08:12:00;  2025-07-01 08:12:12;      Epalinges, Croisettes;  2025-07-01 09:20:00;  2025-07-01 09:16:51
  85:801:36023-287;  Route_A;               28;          O;       Mézières VD, station;  2025-07-01 08:37:00;  2025-07-01 08:38:08;           Lausanne, Sallaz;  2025-07-01 09:17:00;  2025-07-01 09:16:47
  85:801:36027-287;  Route_A;               28;          O;       Mézières VD, station;  2025-07-01 09:07:00;  2025-07-01 09:07:00;           Lausanne, Sallaz;  2025-07-01 09:47:00;  2025-07-01 09:43:51
  85:801:36022-287;  Route_A;               28;          R;           Lausanne, Sallaz;  2025-07-01 09:12:00;  2025-07-01 09:12:19;       Mézières VD, station;  2025-07-01 09:47:00;  2025-07-01 09:46:18
  85:801:36024-287;  Route_A;               28;          R;           Lausanne, Sallaz;  2025-07-01 09:42:00;  2025-07-01 09:43:10;       Mézières VD, station;  2025-07-01 10:17:00;  2025-07-01 10:16:52
  85:801:36033-287;  Route_A;               28;          O;       Mézières VD, station;  2025-07-01 10:18:00;  2025-07-01 10:20:47;           Lausanne, Sallaz;  2025-07-01 10:54:00;  2025-07-01 10:55:14
  85:801:36026-287;  Route_A;               28;          R;           Lausanne, Sallaz;  2025-07-01 10:32:00;  2025-07-01 10:32:32;       Mézières VD, station;  2025-07-01 11:07:00;  2025-07-01 11:06:15
  85:801:36035-287;  Route_A;               28;          O;       Mézières VD, station;  2025-07-01 11:18:00;  2025-07-01 11:19:36;           Lausanne, Sallaz;  2025-07-01 11:54:00;  2025-07-01 11:52:51
  85:801:36028-287;  Route_A;               28;          R;           Lausanne, Sallaz;  2025-07-01 11:32:00;  2025-07-01 11:32:37;       Mézières VD, station;  2025-07-01 12:07:00;  2025-07-01 12:07:25
  85:801:36039-287;  Route_A;               28;          O;       Mézières VD, station;  2025-07-01 12:22:00;  2025-07-01 12:24:12;           Lausanne, Sallaz;  2025-07-01 12:58:00;  2025-07-01 13:04:13
  85:801:36030-287;  Route_A;               28;          R;           Lausanne, Sallaz;  2025-07-01 12:32:00;  2025-07-01 12:33:22;       Mézières VD, station;  2025-07-01 13:07:00;  2025-07-01 13:08:19
  85:801:36032-287;  Route_F;               22;          R;  Savigny, Claie-aux-Moines;  2025-07-01 13:10:00;  2025-07-01 13:10:54;  Carrouge VD, Gustave Roud;  2025-07-01 13:39:00;  2025-07-01 13:50:41
  85:801:36041-287;  Route_A;               28;          O;       Mézières VD, station;  2025-07-01 13:18:00;  2025-07-01 13:20:18;            Lausanne, Foyer;  2025-07-01 13:54:00;  2025-07-01 13:53:01
  85:801:36034-287;  Route_A;               28;          R;           Lausanne, Sallaz;  2025-07-01 13:32:00;  2025-07-01 13:32:34;       Mézières VD, station;  2025-07-01 14:07:00;  2025-07-01 14:07:17
  85:801:36043-287;  Route_A;               28;          O;       Mézières VD, station;  2025-07-01 14:18:00;  2025-07-01 14:12:07;           Lausanne, Sallaz;  2025-07-01 14:54:00;  2025-07-01 14:53:20
