          STOP_NAME           ; STOP_NUMBER ;   EVENT   ;   85:801:36001-287  ;   85:801:36003-287  ;   85:801:36005-287  ;   85:801:36002-287  ;   85:801:36007-287  ;   85:801:36006-287  ;   85:801:36015-287  ;   85:801:36013-287  ;   85:801:36017-287  ;   85:801:36014-287  ;   85:801:36018-287  ;   85:801:36023-287  ;   85:801:36027-287  ;   85:801:36022-287  ;   85:801:36024-287  ;   85:801:36033-287  ;   85:801:36026-287  ;   85:801:36035-287  ;   85:801:36028-287  ;   85:801:36039-287  ;   85:801:36030-287  ;   85:801:36032-287  ;   85:801:36041-287  ;   85:801:36034-287  ;   85:801:36043-287  ;   85:801:36038-287  ;   85:801:36045-287  ;   85:801:36040-287  ;   85:801:36049-287  ;   85:801:36055-287  ;   85:801:36057-287  ;   85:801:36044-287  ;   85:801:36061-287  ;   85:801:36048-287  ;   85:801:36063-287  ;   85:801:36050-287  ;   85:801:36052-287  ;   85:801:36067-287  ;   85:801:36054-287  ;   85:801:36056-287  ;   85:801:36058-287  ;   85:801:36071-287  ;   85:801:36060-287  ;   85:801:36073-287  ;   85:801:36062-287  ;   85:801:36075-287  ;   85:801:36077-287  ;   85:801:36066-287  ;   85:801:36079-287  
     Carrouge VD, Gustave Roud;      8511210;    ARRIVAL;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 13:39:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
          Mézières VD, station;      8504166;    ARRIVAL;                     ;                     ;  2025-07-01 06:37:00;  2025-07-01 06:55:00;  2025-07-01 07:07:00;  2025-07-01 07:24:00;                     ;                     ;  2025-07-01 08:07:00;  2025-07-01 08:25:00;  2025-07-01 08:55:00;                     ;                     ;  2025-07-01 09:47:00;  2025-07-01 10:17:00;                     ;  2025-07-01 11:07:00;                     ;  2025-07-01 12:07:00;                     ;  2025-07-01 13:07:00;  2025-07-01 13:37:00;                     ;  2025-07-01 14:07:00;                     ;  2025-07-01 15:07:00;                     ;  2025-07-01 16:25:00;                     ;                     ;  2025-07-01 17:07:00;  2025-07-01 17:25:00;  2025-07-01 17:37:00;  2025-07-01 17:55:00;  2025-07-01 18:07:00;  2025-07-01 18:25:00;  2025-07-01 18:50:00;  2025-07-01 19:07:00;  2025-07-01 19:20:00;  2025-07-01 19:50:00;  2025-07-01 20:20:00;                     ;  2025-07-01 21:07:00;                     ;  2025-07-01 22:07:00;                     ;                     ;  2025-08-01 00:07:00;                     
          Mézières VD, station;      8504166;  DEPARTURE;  2025-07-01 05:37:00;  2025-07-01 06:07:00;  2025-07-01 06:37:00;  2025-07-01 06:55:00;  2025-07-01 07:07:00;                     ;  2025-07-01 07:37:00;                     ;  2025-07-01 08:07:00;  2025-07-01 08:25:00;  2025-07-01 08:55:00;  2025-07-01 08:37:00;  2025-07-01 09:07:00;                     ;                     ;  2025-07-01 10:18:00;                     ;  2025-07-01 11:18:00;                     ;  2025-07-01 12:22:00;                     ;  2025-07-01 13:37:00;  2025-07-01 13:18:00;                     ;  2025-07-01 14:18:00;                     ;  2025-07-01 15:18:00;  2025-07-01 16:25:00;  2025-07-01 15:52:00;  2025-07-01 16:37:00;  2025-07-01 17:07:00;  2025-07-01 17:25:00;  2025-07-01 17:37:00;  2025-07-01 17:55:00;  2025-07-01 18:07:00;  2025-07-01 18:25:00;  2025-07-01 18:50:00;  2025-07-01 19:07:00;                     ;                     ;                     ;  2025-07-01 20:07:00;                     ;  2025-07-01 21:18:00;                     ;  2025-07-01 22:18:00;  2025-07-01 23:18:00;                     ;  2025-08-01 00:09:00
          Mézières VD, village;      8504758;    ARRIVAL;  2025-07-01 05:38:00;  2025-07-01 06:08:00;  2025-07-01 06:38:00;  2025-07-01 06:56:00;  2025-07-01 07:08:00;  2025-07-01 07:23:00;  2025-07-01 07:38:00;                     ;  2025-07-01 08:08:00;  2025-07-01 08:26:00;  2025-07-01 08:56:00;  2025-07-01 08:38:00;  2025-07-01 09:08:00;  2025-07-01 09:46:00;  2025-07-01 10:16:00;  2025-07-01 10:19:00;  2025-07-01 11:06:00;  2025-07-01 11:19:00;  2025-07-01 12:06:00;  2025-07-01 12:23:00;  2025-07-01 13:06:00;  2025-07-01 13:35:00;  2025-07-01 13:19:00;  2025-07-01 14:06:00;  2025-07-01 14:19:00;  2025-07-01 15:06:00;  2025-07-01 15:19:00;  2025-07-01 16:19:00;  2025-07-01 15:53:00;  2025-07-01 16:38:00;  2025-07-01 17:00:00;  2025-07-01 17:26:00;  2025-07-01 17:38:00;  2025-07-01 17:49:00;  2025-07-01 18:08:00;  2025-07-01 18:26:00;  2025-07-01 18:49:00;  2025-07-01 19:08:00;  2025-07-01 19:19:00;  2025-07-01 19:49:00;  2025-07-01 20:19:00;  2025-07-01 20:08:00;  2025-07-01 21:06:00;  2025-07-01 21:19:00;  2025-07-01 22:06:00;  2025-07-01 22:19:00;  2025-07-01 23:19:00;  2025-08-01 00:06:00;  2025-08-01 00:10:00
          Mézières VD, village;      8504758;  DEPARTURE;  2025-07-01 05:38:00;  2025-07-01 06:08:00;  2025-07-01 06:38:00;  2025-07-01 06:56:00;  2025-07-01 07:08:00;  2025-07-01 07:23:00;  2025-07-01 07:38:00;                     ;  2025-07-01 08:08:00;  2025-07-01 08:26:00;  2025-07-01 08:56:00;  2025-07-01 08:38:00;  2025-07-01 09:08:00;  2025-07-01 09:46:00;  2025-07-01 10:16:00;  2025-07-01 10:19:00;  2025-07-01 11:06:00;  2025-07-01 11:19:00;  2025-07-01 12:06:00;  2025-07-01 12:23:00;  2025-07-01 13:06:00;  2025-07-01 13:35:00;  2025-07-01 13:19:00;  2025-07-01 14:06:00;  2025-07-01 14:19:00;  2025-07-01 15:06:00;  2025-07-01 15:19:00;  2025-07-01 16:19:00;  2025-07-01 15:53:00;  2025-07-01 16:38:00;  2025-07-01 17:00:00;  2025-07-01 17:26:00;  2025-07-01 17:38:00;  2025-07-01 17:49:00;  2025-07-01 18:08:00;  2025-07-01 18:26:00;  2025-07-01 18:49:00;  2025-07-01 19:08:00;  2025-07-01 19:19:00;  2025-07-01 19:49:00;  2025-07-01 20:19:00;  2025-07-01 20:08:00;  2025-07-01 21:06:00;  2025-07-01 21:19:00;  2025-07-01 22:06:00;  2025-07-01 22:19:00;  2025-07-01 23:19:00;  2025-08-01 00:06:00;  2025-08-01 00:10:00
  Mézières VD, collège Raffort;      8557141;    ARRIVAL;                     ;                     ;  2025-07-01 06:29:00;  2025-07-01 06:57:00;  2025-07-01 06:59:00;                     ;                     ;                     ;  2025-07-01 07:59:00;  2025-07-01 08:27:00;  2025-07-01 08:57:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 16:27:00;                     ;                     ;  2025-07-01 16:59:00;  2025-07-01 17:27:00;  2025-07-01 17:29:00;  2025-07-01 17:57:00;  2025-07-01 17:59:00;  2025-07-01 18:27:00;  2025-07-01 18:57:00;  2025-07-01 18:59:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
  Mézières VD, collège Raffort;      8557141;  DEPARTURE;                     ;                     ;  2025-07-01 06:29:00;  2025-07-01 06:57:00;  2025-07-01 06:59:00;                     ;                     ;                     ;  2025-07-01 07:59:00;  2025-07-01 08:27:00;  2025-07-01 08:57:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 16:27:00;                     ;                     ;  2025-07-01 16:59:00;  2025-07-01 17:27:00;  2025-07-01 17:29:00;  2025-07-01 17:57:00;  2025-07-01 17:59:00;  2025-07-01 18:27:00;  2025-07-01 18:57:00;  2025-07-01 18:59:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
       Carrouge VD, Croix d'Or;      8570425;    ARRIVAL;                     ;                     ;  2025-07-01 06:29:00;  2025-07-01 06:58:00;  2025-07-01 06:59:00;                     ;                     ;                     ;  2025-07-01 07:59:00;  2025-07-01 08:28:00;  2025-07-01 08:58:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 16:28:00;                     ;                     ;  2025-07-01 16:59:00;  2025-07-01 17:28:00;  2025-07-01 17:29:00;  2025-07-01 17:58:00;  2025-07-01 17:59:00;  2025-07-01 18:28:00;  2025-07-01 18:58:00;  2025-07-01 18:59:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
       Carrouge VD, Croix d'Or;      8570425;  DEPARTURE;                     ;                     ;  2025-07-01 06:29:00;  2025-07-01 06:58:00;  2025-07-01 06:59:00;                     ;                     ;                     ;  2025-07-01 07:59:00;  2025-07-01 08:28:00;  2025-07-01 08:58:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 16:28:00;                     ;                     ;  2025-07-01 16:59:00;  2025-07-01 17:28:00;  2025-07-01 17:29:00;  2025-07-01 17:58:00;  2025-07-01 17:59:00;  2025-07-01 18:28:00;  2025-07-01 18:58:00;  2025-07-01 18:59:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
     Carrouge VD, Ecorcheboeuf;      8591904;    ARRIVAL;                     ;                     ;  2025-07-01 06:28:00;  2025-07-01 06:59:00;  2025-07-01 06:58:00;                     ;                     ;                     ;  2025-07-01 07:58:00;  2025-07-01 08:29:00;  2025-07-01 08:59:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 16:29:00;                     ;                     ;  2025-07-01 16:58:00;  2025-07-01 17:29:00;  2025-07-01 17:28:00;  2025-07-01 17:59:00;  2025-07-01 17:58:00;  2025-07-01 18:29:00;  2025-07-01 18:59:00;  2025-07-01 18:58:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
