    JOURNEY_ID    ;  Route  ; Number_of_stops ; Direction ;         Start         ;  Start_time_Planned ;   Start_time_Real   ;          End          ;   End_time_Planned  ;    End_time_Real    
  85:801:536203-64;  Route_A;               28;          O;           Moudon, gare;  2025-07-01 05:27:00;  2025-07-01 05:28:12;  Epalinges, Croisettes;  2025-07-01 06:06:00;  2025-07-01 06:02:15
  85:801:536204-64;  Route_B;               27;          R;  Epalinges, Croisettes;  2025-07-01 05:55:00;  2025-07-01 05:55:31;           Moudon, gare;  2025-07-01 06:31:00;  2025-07-01 06:29:00
  85:801:536205-64;  Route_A;               28;          O;           Moudon, gare;  2025-07-01 05:57:00;  2025-07-01 05:57:33;  Epalinges, Croisettes;  2025-07-01 06:36:00;  2025-07-01 06:34:43
  85:801:536206-64;  Route_B;               27;          R;  Epalinges, Croisettes;  2025-07-01 06:25:00;  2025-07-01 06:26:21;           Moudon, gare;  2025-07-01 07:01:00;  2025-07-01 06:58:29
  85:801:536207-64;  Route_A;               28;          O;           Moudon, gare;  2025-07-01 06:27:00;  2025-07-01 06:27:39;  Epalinges, Croisettes;  2025-07-01 07:06:00;  2025-07-01 07:07:18
  85:801:536209-64;  Route_C;               19;          O;           Moudon, gare;  2025-07-01 06:50:00;  2025-07-01 06:50:00;  Epalinges, Croisettes;  2025-07-01 07:27:00;  2025-07-01 07:28:00
  85:801:536211-64;  Route_A;               28;          O;           Moudon, gare;  2025-07-01 06:57:00;  2025-07-01 06:56:33;  Epalinges, Croisettes;  2025-07-01 07:36:00;  2025-07-01 07:37:20
  85:801:536213-64;  Route_C;               19;          O;           Moudon, gare;  2025-07-01 07:08:00;  2025-07-01 07:10:52;  Epalinges, Croisettes;  2025-07-01 07:45:00;  2025-07-01 07:46:50
  85:801:536210-64;  Route_B;               27;          R;  Epalinges, Croisettes;  2025-07-01 07:25:00;  2025-07-01 07:27:45;           Moudon, gare;  2025-07-01 08:01:00;  2025-07-01 07:59:07
  85:801:536215-64;  Route_A;               28;          O;           Moudon, gare;  2025-07-01 07:27:00;  2025-07-01 07:28:35;  Epalinges, Croisettes;  2025-07-01 08:06:00;  2025-07-01 08:06:23
