          STOP_NAME           ; STOP_NUMBER ;   EVENT   ;   85:801:536203-64  ;   85:801:536204-64  ;   85:801:536205-64  ;   85:801:536206-64  ;   85:801:536207-64  ;   85:801:536209-64  ;   85:801:536211-64  ;   85:801:536213-64  ;   85:801:536210-64  ;   85:801:536215-64  ;   85:801:536212-64  ;   85:801:536217-64  ;   85:801:536219-64  ;   85:801:536216-64  ;   85:801:536221-64  ;   85:801:536218-64  ;   85:801:536223-64  ;   85:801:536222-64  ;   85:801:536227-64  ;   85:801:536229-64  ;   85:801:536226-64  ;   85:801:536231-64  ;   85:801:536228-64  ;   85:801:536230-64  ;   85:801:536233-64  ;   85:801:536235-64  ;   85:801:536232-64  ;   85:801:536237-64  ;   85:801:536234-64  ;   85:801:536239-64  ;   85:801:536236-64  ;   85:801:536241-64  ;   85:801:536238-64  ;   85:801:536243-64  ;   85:801:536240-64  ;   85:801:536245-64  ;   85:801:536242-64  ;   85:801:536247-64  ;   85:801:536244-64  ;   85:801:536249-64  ;   85:801:536246-64  ;   85:801:536251-64  ;   85:801:536248-64  ;   85:801:536253-64  ;   85:801:536252-64  ;   85:801:536257-64  ;   85:801:536254-64  ;   85:801:536259-64  ;   85:801:536256-64  ;   85:801:536258-64  ;   85:801:536263-64  ;   85:801:536265-64  ;   85:801:536262-64  ;   85:801:536264-64  ;   85:801:536269-64  ;   85:801:536271-64  ;   85:801:536268-64  ;   85:801:536273-64  ;   85:801:536270-64  ;   85:801:536275-64  ;   85:801:536272-64  ;   85:801:536274-64  ;   85:801:536277-64  ;   85:801:536276-64  
                  Moudon, gare;      8570393;    ARRIVAL;                     ;  2025-07-01 06:31:00;                     ;  2025-07-01 07:01:00;                     ;                     ;                     ;                     ;  2025-07-01 08:01:00;                     ;  2025-07-01 08:31:00;                     ;                     ;  2025-07-01 09:31:00;                     ;  2025-07-01 10:01:00;                     ;  2025-07-01 10:56:00;                     ;                     ;  2025-07-01 11:56:00;                     ;  2025-07-01 12:26:00;  2025-07-01 12:42:00;                     ;                     ;  2025-07-01 13:26:00;                     ;  2025-07-01 13:56:00;                     ;  2025-07-01 14:26:00;                     ;  2025-07-01 14:56:00;                     ;  2025-07-01 15:26:00;                     ;  2025-07-01 15:56:00;                     ;  2025-07-01 16:26:00;                     ;  2025-07-01 17:01:00;                     ;  2025-07-01 17:31:00;                     ;  2025-07-01 18:31:00;                     ;  2025-07-01 19:01:00;                     ;  2025-07-01 19:31:00;  2025-07-01 20:01:00;                     ;                     ;  2025-07-01 20:56:00;  2025-07-01 21:26:00;                     ;                     ;  2025-07-01 22:26:00;                     ;  2025-07-01 22:56:00;                     ;  2025-07-01 23:26:00;  2025-07-01 23:56:00;                     ;  2025-08-01 00:56:00
                  Moudon, gare;      8570393;  DEPARTURE;  2025-07-01 05:27:00;                     ;  2025-07-01 05:57:00;                     ;  2025-07-01 06:27:00;  2025-07-01 06:50:00;  2025-07-01 06:57:00;  2025-07-01 07:08:00;                     ;  2025-07-01 07:27:00;                     ;  2025-07-01 07:57:00;  2025-07-01 08:27:00;                     ;  2025-07-01 08:57:00;                     ;  2025-07-01 09:31:00;                     ;  2025-07-01 10:31:00;  2025-07-01 11:01:00;                     ;  2025-07-01 11:31:00;                     ;                     ;  2025-07-01 12:09:00;  2025-07-01 12:31:00;                     ;  2025-07-01 13:01:00;                     ;  2025-07-01 13:26:00;                     ;  2025-07-01 14:01:00;                     ;  2025-07-01 14:31:00;                     ;  2025-07-01 15:01:00;                     ;  2025-07-01 15:27:00;                     ;  2025-07-01 15:57:00;                     ;  2025-07-01 16:27:00;                     ;  2025-07-01 16:57:00;                     ;  2025-07-01 17:57:00;                     ;  2025-07-01 18:27:00;                     ;                     ;  2025-07-01 19:27:00;  2025-07-01 20:01:00;                     ;                     ;  2025-07-01 21:01:00;  2025-07-01 21:31:00;                     ;  2025-07-01 22:01:00;                     ;  2025-07-01 22:31:00;                     ;                     ;  2025-07-01 23:31:00;                     
                Moudon, Verger;      8592166;    ARRIVAL;  2025-07-01 05:28:00;  2025-07-01 06:28:00;  2025-07-01 05:58:00;  2025-07-01 06:58:00;  2025-07-01 06:28:00;                     ;  2025-07-01 06:58:00;                     ;  2025-07-01 07:58:00;  2025-07-01 07:28:00;  2025-07-01 08:28:00;  2025-07-01 07:58:00;  2025-07-01 08:28:00;  2025-07-01 09:28:00;  2025-07-01 08:58:00;  2025-07-01 09:58:00;  2025-07-01 09:32:00;  2025-07-01 10:54:00;  2025-07-01 10:32:00;  2025-07-01 11:02:00;  2025-07-01 11:54:00;  2025-07-01 11:32:00;  2025-07-01 12:24:00;  2025-07-01 12:40:00;  2025-07-01 12:10:00;  2025-07-01 12:32:00;  2025-07-01 13:24:00;  2025-07-01 13:02:00;  2025-07-01 13:54:00;  2025-07-01 13:27:00;  2025-07-01 14:24:00;  2025-07-01 14:02:00;  2025-07-01 14:54:00;  2025-07-01 14:32:00;  2025-07-01 15:24:00;  2025-07-01 15:02:00;  2025-07-01 15:54:00;  2025-07-01 15:28:00;  2025-07-01 16:24:00;  2025-07-01 15:58:00;  2025-07-01 16:58:00;  2025-07-01 16:28:00;  2025-07-01 17:28:00;  2025-07-01 16:58:00;  2025-07-01 18:28:00;  2025-07-01 17:58:00;  2025-07-01 18:58:00;  2025-07-01 18:28:00;  2025-07-01 19:28:00;  2025-07-01 19:58:00;  2025-07-01 19:28:00;  2025-07-01 20:02:00;  2025-07-01 20:54:00;  2025-07-01 21:24:00;  2025-07-01 21:02:00;  2025-07-01 21:32:00;  2025-07-01 22:24:00;  2025-07-01 22:02:00;  2025-07-01 22:54:00;  2025-07-01 22:32:00;  2025-07-01 23:24:00;  2025-07-01 23:54:00;  2025-07-01 23:32:00;  2025-08-01 00:54:00
                Moudon, Verger;      8592166;  DEPARTURE;  2025-07-01 05:28:00;  2025-07-01 06:28:00;  2025-07-01 05:58:00;  2025-07-01 06:58:00;  2025-07-01 06:28:00;                     ;  2025-07-01 06:58:00;                     ;  2025-07-01 07:58:00;  2025-07-01 07:28:00;  2025-07-01 08:28:00;  2025-07-01 07:58:00;  2025-07-01 08:28:00;  2025-07-01 09:28:00;  2025-07-01 08:58:00;  2025-07-01 09:58:00;  2025-07-01 09:32:00;  2025-07-01 10:54:00;  2025-07-01 10:32:00;  2025-07-01 11:02:00;  2025-07-01 11:54:00;  2025-07-01 11:32:00;  2025-07-01 12:24:00;  2025-07-01 12:40:00;  2025-07-01 12:10:00;  2025-07-01 12:32:00;  2025-07-01 13:24:00;  2025-07-01 13:02:00;  2025-07-01 13:54:00;  2025-07-01 13:27:00;  2025-07-01 14:24:00;  2025-07-01 14:02:00;  2025-07-01 14:54:00;  2025-07-01 14:32:00;  2025-07-01 15:24:00;  2025-07-01 15:02:00;  2025-07-01 15:54:00;  2025-07-01 15:28:00;  2025-07-01 16:24:00;  2025-07-01 15:58:00;  2025-07-01 16:58:00;  2025-07-01 16:28:00;  2025-07-01 17:28:00;  2025-07-01 16:58:00;  2025-07-01 18:28:00;  2025-07-01 17:58:00;  2025-07-01 18:58:00;  2025-07-01 18:28:00;  2025-07-01 19:28:00;  2025-07-01 19:58:00;  2025-07-01 19:28:00;  2025-07-01 20:02:00;  2025-07-01 20:54:00;  2025-07-01 21:24:00;  2025-07-01 21:02:00;  2025-07-01 21:32:00;  2025-07-01 22:24:00;  2025-07-01 22:02:00;  2025-07-01 22:54:00;  2025-07-01 22:32:00;  2025-07-01 23:24:00;  2025-07-01 23:54:00;  2025-07-01 23:32:00;  2025-08-01 00:54:00
              Moudon, Sorbiers;      8592165;    ARRIVAL;  2025-07-01 05:29:00;  2025-07-01 06:26:00;  2025-07-01 05:59:00;  2025-07-01 06:56:00;  2025-07-01 06:29:00;                     ;  2025-07-01 06:59:00;                     ;  2025-07-01 07:56:00;  2025-07-01 07:29:00;  2025-07-01 08:26:00;  2025-07-01 07:59:00;  2025-07-01 08:29:00;  2025-07-01 09:26:00;  2025-07-01 08:59:00;  2025-07-01 09:56:00;  2025-07-01 09:33:00;  2025-07-01 10:52:00;  2025-07-01 10:33:00;  2025-07-01 11:03:00;  2025-07-01 11:52:00;  2025-07-01 11:33:00;  2025-07-01 12:22:00;  2025-07-01 12:38:00;  2025-07-01 12:11:00;  2025-07-01 12:33:00;  2025-07-01 13:22:00;  2025-07-01 13:03:00;  2025-07-01 13:52:00;  2025-07-01 13:28:00;  2025-07-01 14:22:00;  2025-07-01 14:03:00;  2025-07-01 14:52:00;  2025-07-01 14:33:00;  2025-07-01 15:22:00;  2025-07-01 15:03:00;  2025-07-01 15:52:00;  2025-07-01 15:29:00;  2025-07-01 16:22:00;  2025-07-01 15:59:00;  2025-07-01 16:56:00;  2025-07-01 16:29:00;  2025-07-01 17:26:00;  2025-07-01 16:59:00;  2025-07-01 18:26:00;  2025-07-01 17:59:00;  2025-07-01 18:56:00;  2025-07-01 18:29:00;  2025-07-01 19:26:00;  2025-07-01 19:56:00;  2025-07-01 19:29:00;  2025-07-01 20:03:00;  2025-07-01 20:52:00;  2025-07-01 21:22:00;  2025-07-01 21:03:00;  2025-07-01 21:33:00;  2025-07-01 22:22:00;  2025-07-01 22:03:00;  2025-07-01 22:52:00;  2025-07-01 22:33:00;  2025-07-01 23:22:00;  2025-07-01 23:52:00;  2025-07-01 23:33:00;  2025-08-01 00:52:00
              Moudon, Sorbiers;      8592165;  DEPARTURE;  2025-07-01 05:29:00;  2025-07-01 06:26:00;  2025-07-01 05:59:00;  2025-07-01 06:56:00;  2025-07-01 06:29:00;                     ;  2025-07-01 06:59:00;                     ;  2025-07-01 07:56:00;  2025-07-01 07:29:00;  2025-07-01 08:26:00;  2025-07-01 07:59:00;  2025-07-01 08:29:00;  2025-07-01 09:26:00;  2025-07-01 08:59:00;  2025-07-01 09:56:00;  2025-07-01 09:33:00;  2025-07-01 10:52:00;  2025-07-01 10:33:00;  2025-07-01 11:03:00;  2025-07-01 11:52:00;  2025-07-01 11:33:00;  2025-07-01 12:22:00;  2025-07-01 12:38:00;  2025-07-01 12:11:00;  2025-07-01 12:33:00;  2025-07-01 13:22:00;  2025-07-01 13:03:00;  2025-07-01 13:52:00;  2025-07-01 13:28:00;  2025-07-01 14:22:00;  2025-07-01 14:03:00;  2025-07-01 14:52:00;  2025-07-01 14:33:00;  2025-07-01 15:22:00;  2025-07-01 15:03:00;  2025-07-01 15:52:00;  2025-07-01 15:29:00;  2025-07-01 16:22:00;  2025-07-01 15:59:00;  2025-07-01 16:56:00;  2025-07-01 16:29:00;  2025-07-01 17:26:00;  2025-07-01 16:59:00;  2025-07-01 18:26:00;  2025-07-01 17:59:00;  2025-07-01 18:56:00;  2025-07-01 18:29:00;  2025-07-01 19:26:00;  2025-07-01 19:56:00;  2025-07-01 19:29:00;  2025-07-01 20:03:00;  2025-07-01 20:52:00;  2025-07-01 21:22:00;  2025-07-01 21:03:00;  2025-07-01 21:33:00;  2025-07-01 22:22:00;  2025-07-01 22:03:00;  2025-07-01 22:52:00;  2025-07-01 22:33:00;  2025-07-01 23:22:00;  2025-07-01 23:52:00;  2025-07-01 23:33:00;  2025-08-01 00:52:00
           Bressonnaz, village;      8579243;    ARRIVAL;  2025-07-01 05:31:00;  2025-07-01 06:24:00;  2025-07-01 06:01:00;  2025-07-01 06:54:00;  2025-07-01 06:31:00;                     ;  2025-07-01 07:01:00;                     ;  2025-07-01 07:54:00;  2025-07-01 07:31:00;  2025-07-01 08:24:00;  2025-07-01 08:01:00;  2025-07-01 08:31:00;  2025-07-01 09:24:00;  2025-07-01 09:01:00;  2025-07-01 09:54:00;  2025-07-01 09:35:00;  2025-07-01 10:50:00;  2025-07-01 10:35:00;  2025-07-01 11:05:00;  2025-07-01 11:50:00;  2025-07-01 11:35:00;  2025-07-01 12:20:00;  2025-07-01 12:36:00;  2025-07-01 12:13:00;  2025-07-01 12:35:00;  2025-07-01 13:20:00;  2025-07-01 13:05:00;  2025-07-01 13:50:00;  2025-07-01 13:30:00;  2025-07-01 14:20:00;  2025-07-01 14:05:00;  2025-07-01 14:50:00;  2025-07-01 14:35:00;  2025-07-01 15:20:00;  2025-07-01 15:05:00;  2025-07-01 15:50:00;  2025-07-01 15:31:00;  2025-07-01 16:20:00;  2025-07-01 16:01:00;  2025-07-01 16:54:00;  2025-07-01 16:31:00;  2025-07-01 17:24:00;  2025-07-01 17:01:00;  2025-07-01 18:24:00;  2025-07-01 18:01:00;  2025-07-01 18:54:00;  2025-07-01 18:31:00;  2025-07-01 19:24:00;  2025-07-01 19:54:00;  2025-07-01 19:31:00;  2025-07-01 20:05:00;  2025-07-01 20:50:00;  2025-07-01 21:20:00;  2025-07-01 21:05:00;  2025-07-01 21:35:00;  2025-07-01 22:20:00;  2025-07-01 22:05:00;  2025-07-01 22:50:00;  2025-07-01 22:35:00;  2025-07-01 23:20:00;  2025-07-01 23:50:00;  2025-07-01 23:35:00;  2025-08-01 00:50:00
           Bressonnaz, village;      8579243;  DEPARTURE;  2025-07-01 05:31:00;  2025-07-01 06:24:00;  2025-07-01 06:01:00;  2025-07-01 06:54:00;  2025-07-01 06:31:00;                     ;  2025-07-01 07:01:00;                     ;  2025-07-01 07:54:00;  2025-07-01 07:31:00;  2025-07-01 08:24:00;  2025-07-01 08:01:00;  2025-07-01 08:31:00;  2025-07-01 09:24:00;  2025-07-01 09:01:00;  2025-07-01 09:54:00;  2025-07-01 09:35:00;  2025-07-01 10:50:00;  2025-07-01 10:35:00;  2025-07-01 11:05:00;  2025-07-01 11:50:00;  2025-07-01 11:35:00;  2025-07-01 12:20:00;  2025-07-01 12:36:00;  2025-07-01 12:13:00;  2025-07-01 12:35:00;  2025-07-01 13:20:00;  2025-07-01 13:05:00;  2025-07-01 13:50:00;  2025-07-01 13:30:00;  2025-07-01 14:20:00;  2025-07-01 14:05:00;  2025-07-01 14:50:00;  2025-07-01 14:35:00;  2025-07-01 15:20:00;  2025-07-01 15:05:00;  2025-07-01 15:50:00;  2025-07-01 15:31:00;  2025-07-01 16:20:00;  2025-07-01 16:01:00;  2025-07-01 16:54:00;  2025-07-01 16:31:00;  2025-07-01 17:24:00;  2025-07-01 17:01:00;  2025-07-01 18:24:00;  2025-07-01 18:01:00;  2025-07-01 18:54:00;  2025-07-01 18:31:00;  2025-07-01 19:24:00;  2025-07-01 19:54:00;  2025-07-01 19:31:00;  2025-07-01 20:05:00;  2025-07-01 20:50:00;  2025-07-01 21:20:00;  2025-07-01 21:05:00;  2025-07-01 21:35:00;  2025-07-01 22:20:00;  2025-07-01 22:05:00;  2025-07-01 22:50:00;  2025-07-01 22:35:00;  2025-07-01 23:20:00;  2025-07-01 23:50:00;  2025-07-01 23:35:00;  2025-08-01 00:50:00
         Syens, Champ-du-Chêne;      8504162;    ARRIVAL;  2025-07-01 05:32:00;  2025-07-01 06:22:00;  2025-07-01 06:02:00;  2025-07-01 06:52:00;  2025-07-01 06:32:00;                     ;  2025-07-01 07:02:00;                     ;  2025-07-01 07:52:00;  2025-07-01 07:32:00;  2025-07-01 08:22:00;  2025-07-01 08:02:00;  2025-07-01 08:32:00;  2025-07-01 09:22:00;  2025-07-01 09:02:00;  2025-07-01 09:52:00;  2025-07-01 09:36:00;  2025-07-01 10:48:00;  2025-07-01 10:36:00;  2025-07-01 11:06:00;  2025-07-01 11:48:00;  2025-07-01 11:36:00;  2025-07-01 12:18:00;  2025-07-01 12:34:00;  2025-07-01 12:14:00;  2025-07-01 12:36:00;  2025-07-01 13:18:00;  2025-07-01 13:06:00;  2025-07-01 13:48:00;  2025-07-01 13:31:00;  2025-07-01 14:18:00;  2025-07-01 14:06:00;  2025-07-01 14:48:00;  2025-07-01 14:36:00;  2025-07-01 15:18:00;  2025-07-01 15:06:00;  2025-07-01 15:48:00;  2025-07-01 15:32:00;  2025-07-01 16:18:00;  2025-07-01 16:02:00;  2025-07-01 16:52:00;  2025-07-01 16:32:00;  2025-07-01 17:22:00;  2025-07-01 17:02:00;  2025-07-01 18:22:00;  2025-07-01 18:02:00;  2025-07-01 18:52:00;  2025-07-01 18:32:00;  2025-07-01 19:22:00;  2025-07-01 19:52:00;  2025-07-01 19:32:00;  2025-07-01 20:06:00;  2025-07-01 20:48:00;  2025-07-01 21:18:00;  2025-07-01 21:06:00;  2025-07-01 21:36:00;  2025-07-01 22:18:00;  2025-07-01 22:06:00;  2025-07-01 22:48:00;  2025-07-01 22:36:00;  2025-07-01 23:18:00;  2025-07-01 23:48:00;  2025-07-01 23:36:00;  2025-08-01 00:48:00
         Syens, Champ-du-Chêne;      8504162;  DEPARTURE;  2025-07-01 05:32:00;  2025-07-01 06:22:00;  2025-07-01 06:02:00;  2025-07-01 06:52:00;  2025-07-01 06:32:00;                     ;  2025-07-01 07:02:00;                     ;  2025-07-01 07:52:00;  2025-07-01 07:32:00;  2025-07-01 08:22:00;  2025-07-01 08:02:00;  2025-07-01 08:32:00;  2025-07-01 09:22:00;  2025-07-01 09:02:00;  2025-07-01 09:52:00;  2025-07-01 09:36:00;  2025-07-01 10:48:00;  2025-07-01 10:36:00;  2025-07-01 11:06:00;  2025-07-01 11:48:00;  2025-07-01 11:36:00;  2025-07-01 12:18:00;  2025-07-01 12:34:00;  2025-07-01 12:14:00;  2025-07-01 12:36:00;  2025-07-01 13:18:00;  2025-07-01 13:06:00;  2025-07-01 13:48:00;  2025-07-01 13:31:00;  2025-07-01 14:18:00;  2025-07-01 14:06:00;  2025-07-01 14:48:00;  2025-07-01 14:36:00;  2025-07-01 15:18:00;  2025-07-01 15:06:00;  2025-07-01 15:48:00;  2025-07-01 15:32:00;  2025-07-01 16:18:00;  2025-07-01 16:02:00;  2025-07-01 16:52:00;  2025-07-01 16:32:00;  2025-07-01 17:22:00;  2025-07-01 17:02:00;  2025-07-01 18:22:00;  2025-07-01 18:02:00;  2025-07-01 18:52:00;  2025-07-01 18:32:00;  2025-07-01 19:22:00;  2025-07-01 19:52:00;  2025-07-01 19:32:00;  2025-07-01 20:06:00;  2025-07-01 20:48:00;  2025-07-01 21:18:00;  2025-07-01 21:06:00;  2025-07-01 21:36:00;  2025-07-01 22:18:00;  2025-07-01 22:06:00;  2025-07-01 22:48:00;  2025-07-01 22:36:00;  2025-07-01 23:18:00;  2025-07-01 23:48:00;  2025-07-01 23:36:00;  2025-08-01 00:48:00
