    JOURNEY_ID   ;  Route  ; Number_of_stops ; Direction ;           Start           ;  Start_time_Planned ;   Start_time_Real   ;            End            ;   End_time_Planned  ;    End_time_Real    
  85:801:36501-65;  Route_D;               22;          O;       Mézières VD, station;  2025-07-01 05:30:00;  2025-07-01 05:30:40;           Lausanne, Sallaz;  2025-07-01 06:00:00;  2025-07-01 06:01:47
  85:801:36503-65;  Route_C;               32;          O;               Moudon, gare;  2025-07-01 05:42:00;  2025-07-01 05:43:26;           Lausanne, Sallaz;  2025-07-01 06:32:00;  2025-07-01 06:31:20
  85:801:36502-65;  Route_A;               31;          R;           Lausanne, Sallaz;  2025-07-01 05:57:00;  2025-07-01 06:09:00;               Moudon, gare;  2025-07-01 06:44:00;  2025-07-01 06:41:19
  85:801:36504-65;  Route_A;               31;          R;           Lausanne, Sallaz;  2025-07-01 06:27:00;  2025-07-01 06:27:44;               Moudon, gare;  2025-07-01 07:14:00;  2025-07-01 07:10:57
  85:801:36507-65;  Route_C;               32;          O;               Moudon, gare;  2025-07-01 06:42:00;  2025-07-01 06:30:23;           Lausanne, Sallaz;  2025-07-01 07:32:00;  2025-07-01 07:35:02
  85:801:36506-65;  Route_A;               31;          R;           Lausanne, Sallaz;  2025-07-01 07:06:00;  2025-07-01 07:07:16;               Moudon, gare;  2025-07-01 07:53:00;  2025-07-01 07:53:01
  85:801:36509-65;  Route_C;               32;          O;               Moudon, gare;  2025-07-01 07:12:00;  2025-07-01 07:12:10;           Lausanne, Sallaz;  2025-07-01 08:02:00;  2025-07-01 08:01:09
  85:801:36510-65;  Route_A;               31;          R;           Lausanne, Sallaz;  2025-07-01 07:27:00;  2025-07-01 07:27:03;               Moudon, gare;  2025-07-01 08:14:00;  2025-07-01 08:10:18
  85:801:36512-65;  Route_A;               31;          R;           Lausanne, Sallaz;  2025-07-01 07:57:00;  2025-07-01 08:00:10;               Moudon, gare;  2025-07-01 08:44:00;  2025-07-01 08:40:30
  85:801:36513-65;  Route_C;               32;          O;               Moudon, gare;  2025-07-01 08:12:00;  2025-07-01 08:12:00;           Lausanne, Sallaz;  2025-07-01 09:02:00;  2025-07-01 09:00:10
  85:801:36514-65;  Route_A;               31;          R;           Lausanne, Sallaz;  2025-07-01 08:27:00;  2025-07-01 08:27:17;               Moudon, gare;  2025-07-01 09:14:00;  2025-07-01 09:10:54
  85:801:36515-65;  Route_B;               23;          O;       Mézières VD, station;  2025-07-01 08:56:00;  2025-07-01 08:57:34;           Lausanne, Sallaz;  2025-07-01 09:29:00;  2025-07-01 09:30:40
  85:801:36516-65;  Route_A;               31;          R;           Lausanne, Sallaz;  2025-07-01 08:57:00;  2025-07-01 08:57:13;               Moudon, gare;  2025-07-01 09:44:00;  2025-07-01 09:41:05
  85:801:36518-65;  Route_B;               23;          R;           Lausanne, Sallaz;  2025-07-01 09:27:00;  2025-07-01 09:28:26;       Mézières VD, station;  2025-07-01 09:58:00;  2025-07-01 10:01:55
  85:801:36517-65;  Route_B;               23;          O;       Mézières VD, station;  2025-07-01 09:49:00;  2025-07-01 09:49:31;           Lausanne, Sallaz;  2025-07-01 10:22:00;  2025-07-01 10:22:31
  85:801:36520-65;  Route_B;               23;          R;           Lausanne, Sallaz;  2025-07-01 10:05:00;  2025-07-01 10:05:56;       Mézières VD, station;  2025-07-01 10:36:00;  2025-07-01 10:35:15
  85:801:36519-65;  Route_B;               23;          O;       Mézières VD, station;  2025-07-01 10:49:00;  2025-07-01 10:49:39;           Lausanne, Sallaz;  2025-07-01 11:22:00;  2025-07-01 11:22:58
  85:801:36522-65;  Route_B;               23;          R;           Lausanne, Sallaz;  2025-07-01 11:05:00;  2025-07-01 11:06:15;       Mézières VD, station;  2025-07-01 11:36:00;  2025-07-01 11:37:56
  85:801:36521-65;  Route_B;               23;          O;       Mézières VD, station;  2025-07-01 11:49:00;  2025-07-01 11:50:22;           Lausanne, Sallaz;  2025-07-01 12:22:00;  2025-07-01 12:24:13
  85:801:36524-65;  Route_B;               23;          R;           Lausanne, Sallaz;  2025-07-01 12:05:00;  2025-07-01 12:06:02;       Mézières VD, station;  2025-07-01 12:36:00;  2025-07-01 12:37:58
  85:801:36523-65;  Route_E;               18;          O;  Carrouge VD, Gustave Roud;  2025-07-01 12:21:00;  2025-07-01 12:22:12;  Savigny, Claie-aux-Moines;  2025-07-01 12:47:00;  2025-07-01 12:49:39
  85:801:36527-65;  Route_B;               23;          O;       Mézières VD, station;  2025-07-01 12:49:00;  2025-07-01 12:52:28;           Lausanne, Sallaz;  2025-07-01 13:22:00;  2025-07-01 13:24:42
  85:801:36526-65;  Route_B;               23;          R;           Lausanne, Sallaz;  2025-07-01 13:05:00;  2025-07-01 13:06:33;       Mézières VD, station;  2025-07-01 13:36:00;  2025-07-01 13:39:24
