            JOURNEY_ID           ;  Route  ; Number_of_stops ; Direction ;            Start            ;  Start_time_Planned ;   Start_time_Real   ;            End            ;   End_time_Planned  ;    End_time_Real    
  85:764:5001_705-A-101_0540_BPS3;  Route_B;               23;          R;                  Lonay, parc;  2025-08-01 05:40:00;  2025-08-01 05:40:00;  Ecublens VD, EPFL Piccard;  2025-08-01 06:07:00;  2025-08-01 06:07:45
  85:764:5003_705-A-101_0600_BPS3;  Route_B;               23;          R;                  Lonay, parc;  2025-08-01 06:00:00;  2025-08-01 06:00:34;  Ecublens VD, EPFL Piccard;  2025-08-01 06:27:00;  2025-08-01 06:28:32
  85:764:5000_705-R-201_0618_BPS3;  Route_A;               22;          O;    Ecublens VD, EPFL Piccard;  2025-08-01 06:18:00;  2025-08-01 06:18:44;                Lonay, parc;  2025-08-01 06:44:00;  2025-08-01 06:47:17
  85:764:5005_705-A-101_0620_BPS3;  Route_B;               23;          R;                  Lonay, parc;  2025-08-01 06:20:00;  2025-08-01 06:21:57;  Ecublens VD, EPFL Piccard;  2025-08-01 06:47:00;  2025-08-01 06:47:00
  85:764:5007_705-A-101_0635_BPS3;  Route_B;               23;          R;                  Lonay, parc;  2025-08-01 06:35:00;  2025-08-01 06:36:35;  Ecublens VD, EPFL Piccard;  2025-08-01 07:02:00;  2025-08-01 07:04:12
  85:764:5002_705-R-201_0638_BPS3;  Route_A;               22;          O;    Ecublens VD, EPFL Piccard;  2025-08-01 06:38:00;  2025-08-01 06:39:08;                Lonay, parc;  2025-08-01 07:04:00;  2025-08-01 07:06:08
  85:764:5009_705-A-101_0650_BPS3;  Route_B;               23;          R;                  Lonay, parc;  2025-08-01 06:50:00;  2025-08-01 06:50:47;  Ecublens VD, EPFL Piccard;  2025-08-01 07:17:00;  2025-08-01 07:19:44
  85:764:5004_705-R-201_0658_BPS3;  Route_A;               22;          O;    Ecublens VD, EPFL Piccard;  2025-08-01 06:58:00;  2025-08-01 06:59:39;                Lonay, parc;  2025-08-01 07:26:00;  2025-08-01 07:30:57
  85:764:5011_705-A-101_0700_BPS3;  Route_B;               23;          R;                  Lonay, parc;  2025-08-01 07:00:00;  2025-08-01 07:00:37;  Ecublens VD, EPFL Piccard;  2025-08-01 07:29:00;  2025-08-01 07:31:44
  85:764:5006_705-R-203_0713_BPS3;  Route_C;               10;          O;    Ecublens VD, EPFL Piccard;  2025-08-01 07:13:00;  2025-08-01 07:14:55;          Echandens, centre;  2025-08-01 07:25:00;  2025-08-01 07:27:00
  85:764:5013_705-A-101_0720_BPS3;  Route_B;               23;          R;                  Lonay, parc;  2025-08-01 07:20:00;  2025-08-01 07:21:24;  Ecublens VD, EPFL Piccard;  2025-08-01 07:49:00;  2025-08-01 07:51:26
  85:764:5008_705-R-201_0723_BPS3;  Route_A;               22;          O;      Ecublens VD, EPFL (bus);  2025-08-01 07:23:00;  2025-08-01 07:23:55;                Lonay, parc;  2025-08-01 07:51:00;  2025-08-01 07:55:42
  85:764:5015_705-A-102_0726_BPS3;  Route_D;               11;          R;            Echandens, centre;  2025-08-01 07:26:00;  2025-08-01 07:27:00;  Ecublens VD, EPFL Piccard;  2025-08-01 07:39:00;  2025-08-01 07:41:46
  85:764:5017_705-A-101_0727_BPS3;  Route_B;               23;          R;  Lonay-Préverenges, gare sud;  2025-08-01 07:27:00;  2025-08-01 07:29:50;  Ecublens VD, EPFL Piccard;  2025-08-01 07:56:00;  2025-08-01 08:00:30
  85:764:5010_705-R-203_0733_BPS3;  Route_C;               10;          O;      Ecublens VD, EPFL (bus);  2025-08-01 07:33:00;  2025-08-01 07:33:55;          Echandens, centre;  2025-08-01 07:45:00;  2025-08-01 07:46:43
  85:764:5012_705-R-201_0743_BPS3;  Route_A;               22;          O;    Ecublens VD, EPFL Piccard;  2025-08-01 07:43:00;  2025-08-01 07:43:51;                Lonay, parc;  2025-08-01 08:11:00;  2025-08-01 08:12:01
  85:764:5014_705-R-203_0750_BPS3;  Route_C;               10;          O;    Ecublens VD, EPFL Piccard;  2025-08-01 07:50:00;  2025-08-01 07:50:00;          Echandens, centre;  2025-08-01 08:02:00;  2025-08-01 08:03:49
  85:764:5019_705-A-102_0753_BPS3;  Route_D;               11;          R;            Echandens, centre;  2025-08-01 07:53:00;  2025-08-01 07:54:08;  Ecublens VD, EPFL Piccard;  2025-08-01 08:06:00;  2025-08-01 08:09:07
  85:764:5021_705-A-101_0757_BPS3;  Route_B;               23;          R;                  Lonay, parc;  2025-08-01 07:57:00;  2025-08-01 07:57:53;  Ecublens VD, EPFL Piccard;  2025-08-01 08:26:00;  2025-08-01 08:27:12
  85:764:5016_705-R-203_0800_BPS3;  Route_C;               10;          O;      Ecublens VD, EPFL (bus);  2025-08-01 08:00:00;  2025-08-01 08:00:55;          Echandens, centre;  2025-08-01 08:12:00;  2025-08-01 08:11:55
  85:764:5023_705-A-102_0803_BPS3;  Route_D;               11;          R;            Echandens, centre;  2025-08-01 08:03:00;  2025-08-01 08:03:00;  Ecublens VD, EPFL Piccard;  2025-08-01 08:16:00;  2025-08-01 08:17:36
  85:764:5018_705-R-201_0810_BPS3;  Route_A;               22;          O;    Ecublens VD, EPFL Piccard;  2025-08-01 08:10:00;  2025-08-01 08:11:57;                Lonay, parc;  2025-08-01 08:38:00;  2025-08-01 08:39:58
