            JOURNEY_ID           ;  Route  ; Number_of_stops ; Direction ;           Start           ;  Start_time_Planned ;   Start_time_Real   ;            End            ;   End_time_Planned  ;    End_time_Real    
  85:764:5001_705-A-101_0540_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 05:40:00;  2025-01-29 05:42:06;  Ecublens VD, EPFL Piccard;  2025-01-29 06:07:00;  2025-01-29 06:07:57
  85:764:5003_705-A-101_0600_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 06:00:00;  2025-01-29 06:00:00;  Ecublens VD, EPFL Piccard;  2025-01-29 06:27:00;  2025-01-29 06:27:43
  85:764:5000_705-R-201_0618_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 06:18:00;  2025-01-29 06:19:26;                Lonay, parc;  2025-01-29 06:44:00;  2025-01-29 06:45:47
  85:764:5005_705-A-101_0620_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 06:20:00;  2025-01-29 06:21:01;  Ecublens VD, EPFL Piccard;  2025-01-29 06:47:00;  2025-01-29 06:48:19
  85:764:5007_705-A-101_0635_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 06:35:00;  2025-01-29 06:34:40;  Ecublens VD, EPFL Piccard;  2025-01-29 07:02:00;  2025-01-29 07:03:26
  85:764:5002_705-R-201_0638_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 06:38:00;  2025-01-29 06:38:54;                Lonay, parc;  2025-01-29 07:04:00;  2025-01-29 07:07:05
  85:764:5009_705-A-101_0650_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 06:50:00;  2025-01-29 06:50:00;  Ecublens VD, EPFL Piccard;  2025-01-29 07:17:00;  2025-01-29 07:17:00
  85:764:5004_705-R-201_0658_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 06:58:00;  2025-01-29 06:58:00;                Lonay, parc;  2025-01-29 07:26:00;  2025-01-29 07:31:43
  85:764:5011_705-A-101_0700_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 07:00:00;  2025-01-29 07:01:30;  Ecublens VD, EPFL Piccard;  2025-01-29 07:29:00;  2025-01-29 07:30:47
  85:764:5006_705-R-203_0713_BPS3;  Route_C;               10;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 07:13:00;  2025-01-29 07:12:39;          Echandens, centre;  2025-01-29 07:25:00;  2025-01-29 07:25:52
  85:764:5013_705-A-101_0720_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 07:20:00;  2025-01-29 07:20:22;  Ecublens VD, EPFL Piccard;  2025-01-29 07:49:00;  2025-01-29 07:53:44
  85:764:5008_705-R-201_0723_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 07:23:00;  2025-01-29 07:23:00;                Lonay, parc;  2025-01-29 07:51:00;  2025-01-29 07:51:00
  85:764:5015_705-A-102_0726_BPS3;  Route_D;               11;          O;          Echandens, centre;  2025-01-29 07:26:00;  2025-01-29 07:27:05;  Ecublens VD, EPFL Piccard;  2025-01-29 07:39:00;  2025-01-29 07:40:03
  85:764:5017_705-A-101_0727_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 07:27:00;  2025-01-29 07:32:14;  Ecublens VD, EPFL Piccard;  2025-01-29 07:56:00;  2025-01-29 07:58:18
  85:764:5010_705-R-203_0733_BPS3;  Route_C;               10;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 07:33:00;  2025-01-29 07:34:05;          Echandens, centre;  2025-01-29 07:45:00;  2025-01-29 07:45:52
  85:764:5012_705-R-201_0743_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 07:43:00;  2025-01-29 07:42:24;                Lonay, parc;  2025-01-29 08:11:00;  2025-01-29 08:09:52
  85:764:5014_705-R-203_0750_BPS3;  Route_C;               10;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 07:50:00;  2025-01-29 07:54:00;          Echandens, centre;  2025-01-29 08:02:00;  2025-01-29 08:05:11
  85:764:5019_705-A-102_0753_BPS3;  Route_D;               11;          O;          Echandens, centre;  2025-01-29 07:53:00;  2025-01-29 07:53:17;  Ecublens VD, EPFL Piccard;  2025-01-29 08:06:00;  2025-01-29 08:07:19
  85:764:5021_705-A-101_0757_BPS3;  Route_E;               20;          O;           Lonay, Pressoirs;  2025-01-29 07:57:00;  2025-01-29 07:58:19;  Ecublens VD, EPFL Piccard;  2025-01-29 08:26:00;  2025-01-29 10:06:36
  85:764:5016_705-R-203_0800_BPS3;  Route_C;               10;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 08:00:00;  2025-01-29 08:04:42;          Echandens, centre;  2025-01-29 08:12:00;  2025-01-29 08:14:16
  85:764:5023_705-A-102_0803_BPS3;  Route_D;               11;          O;    Echandens, Chocolatière;  2025-01-29 08:03:00;  2025-01-29 08:04:50;  Ecublens VD, EPFL Piccard;  2025-01-29 08:16:00;  2025-01-29 08:20:29
  85:764:5018_705-R-201_0810_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 08:10:00;  2025-01-29 08:10:00;                Lonay, parc;  2025-01-29 08:38:00;  2025-01-29 08:43:58
  85:764:5020_705-R-201_0820_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 08:20:00;  2025-01-29 08:22:01;                Lonay, parc;  2025-01-29 08:48:00;  2025-01-29 08:48:51
  85:764:5025_705-A-101_0820_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 08:20:00;  2025-01-29 08:20:50;  Ecublens VD, EPFL Piccard;  2025-01-29 08:49:00;  2025-01-29 08:50:49
  85:764:5027_705-A-102_0823_BPS3;  Route_D;               11;          O;          Echandens, centre;  2025-01-29 08:23:00;  2025-01-29 08:23:15;  Ecublens VD, EPFL Piccard;  2025-01-29 08:36:00;  2025-01-29 08:36:23
  85:764:5022_705-R-203_0833_BPS3;  Route_C;               10;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 08:33:00;  2025-01-29 09:54:11;          Echandens, centre;  2025-01-29 08:45:00;  2025-01-29 10:06:11
  85:764:5029_705-A-101_0840_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 08:40:00;  2025-01-29 08:45:54;  Ecublens VD, EPFL Piccard;  2025-01-29 09:09:00;  2025-01-29 09:12:27
  85:764:5024_705-R-201_0843_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 08:43:00;  2025-01-29 08:43:00;                Lonay, parc;  2025-01-29 09:11:00;  2025-01-29 09:12:01
  85:764:5031_705-A-102_0846_BPS3;  Route_D;               11;          O;          Echandens, centre;  2025-01-29 08:46:00;  2025-01-29 10:07:11;  Ecublens VD, EPFL Piccard;  2025-01-29 08:59:00;  2025-01-29 10:20:11
  85:764:5026_705-R-203_0853_BPS3;  Route_C;               10;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 08:53:00;  2025-01-29 08:52:31;          Echandens, centre;  2025-01-29 09:05:00;  2025-01-29 09:04:44
  85:764:5033_705-A-101_0900_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 09:00:00;  2025-01-29 09:00:00;  Ecublens VD, EPFL Piccard;  2025-01-29 09:29:00;  2025-01-29 09:32:12
  85:764:5028_705-R-201_0903_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 09:03:00;  2025-01-29 10:20:11;                Lonay, parc;  2025-01-29 09:31:00;  2025-01-29 10:47:33
  85:764:5035_705-A-102_0906_BPS3;  Route_D;               11;          O;          Echandens, centre;  2025-01-29 09:06:00;  2025-01-29 09:06:35;  Ecublens VD, EPFL Piccard;  2025-01-29 09:19:00;  2025-01-29 09:18:21
  85:764:5030_705-R-203_0913_BPS3;  Route_C;               10;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 09:13:00;  2025-01-29 09:13:58;          Echandens, centre;  2025-01-29 09:25:00;  2025-01-29 09:23:46
  85:764:5037_705-A-101_0920_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 09:20:00;  2025-01-29 09:21:09;  Ecublens VD, EPFL Piccard;  2025-01-29 09:49:00;  2025-01-29 09:48:14
  85:764:5032_705-R-201_0923_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 09:23:00;  2025-01-29 09:23:30;                Lonay, parc;  2025-01-29 09:51:00;  2025-01-29 09:51:00
  85:764:5039_705-A-102_0926_BPS3;  Route_D;               11;          O;          Echandens, centre;  2025-01-29 09:26:00;  2025-01-29 09:27:10;  Ecublens VD, EPFL Piccard;  2025-01-29 09:39:00;  2025-01-29 09:39:04
  85:764:5034_705-R-203_0933_BPS3;  Route_C;               10;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 09:33:00;  2025-01-29 09:34:08;          Echandens, centre;  2025-01-29 09:45:00;  2025-01-29 09:45:00
  85:764:5041_705-A-101_0940_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 09:40:00;  2025-01-29 09:40:46;  Ecublens VD, EPFL Piccard;  2025-01-29 10:09:00;  2025-01-29 10:10:07
  85:764:5036_705-R-201_0943_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 09:43:00;  2025-01-29 09:43:49;                Lonay, parc;  2025-01-29 10:11:00;  2025-01-29 10:11:20
  85:764:5043_705-A-102_0946_BPS3;  Route_D;               11;          O;          Echandens, centre;  2025-01-29 09:46:00;  2025-01-29 09:46:20;  Ecublens VD, EPFL Piccard;  2025-01-29 09:59:00;  2025-01-29 09:59:31
  85:764:5038_705-R-201_0953_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 09:53:00;  2025-01-29 09:56:29;                Lonay, parc;  2025-01-29 10:21:00;  2025-01-29 10:20:04
  85:764:5045_705-A-101_1000_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 10:00:00;  2025-01-29 10:00:26;  Ecublens VD, EPFL Piccard;  2025-01-29 10:29:00;  2025-01-29 10:29:00
  85:764:5040_705-R-201_1003_BPS3;  Route_A;               22;          R;  Ecublens VD, EPFL Piccard;  2025-01-29 10:03:00;  2025-01-29 10:03:50;                Lonay, parc;  2025-01-29 10:31:00;  2025-01-29 10:31:29
  85:764:5047_705-A-101_1020_BPS3;  Route_B;               23;          O;                Lonay, parc;  2025-01-29 10:20:00;  2025-01-29 10:20:55;  Ecublens VD, EPFL Piccard;  2025-01-29 10:49:00;  2025-01-29 10:49:32
