number;designationOfficial;lv95East;lv95North
8579233;Ecublens VD, EPFL (bus);2533107.0;1152679.0
8579230;Préverenges, village;2529987.0;1152190.0
8579234;Ecublens VD, EPFL Piccard;2533226.62602;1152482.70215
8588872;Denges, Les Oches;2531178.62831;1153155.79499
8588898;Préverenges, Capellan;2529954.0;1152437.0
8588875;Echandens, centre;2531142.0;1154096.0
8591949;Ecublens VD, En Enjalin;2532358.0;1152927.0
8591954;Ecublens VD, Perrettes;2532466.0;1153147.0
8591952;Ecublens VD, Ormet;2532495.0;1152858.0
8591961;Ecublens VD, Villars;2532675.0;1153514.0
8591947;Ecublens VD, Coquerellaz;2532646.40257;1152941.46273
8591946;Ecublens VD, Cocarde;2532620.0;1153341.0
8591944;Ecublens VD, Argand;2533488.0;1152483.0
8591951;Ecublens VD, Motty;2532705.0;1153108.0
8592248;Ecublens VD, Larges Pièces;2532232.11857;1153795.57806
8592254;Lonay, parc;2529262.0;1153429.0
8592239;Denges, La Pale;2531209.31847;1152347.6803
8592243;Echandens, Riaz;2531227.4023;1154311.99642
8592242;Denges, village;2531088.48382;1152835.77612
8592241;Denges, Sur les Moulins;2531176.04448;1151922.30311
8592240;Denges, Pierraz-Mur;2530776.0;1151938.0
8592244;Echandens, Chocolatière;2531587.78513;1154297.10699
8595213;Echandens, collège;2531135.13246;1153844.1333
8595219;Lonay, Pressoirs;2529507.31315;1153105.17853
8595218;Lonay-Préverenges, gare sud;2529592.0;1152847.0
8511344;Lonay-Préverenges, gare nord;2529438.71944;1152899.15485
